date,special,prize1,prize2,prize3_1,prize3_2,prize4_1,prize4_2,prize4_3,prize4_4,prize4_5,prize4_6,prize4_7,prize5,prize6_1,prize6_2,prize6_3,prize7,prize8
2025-07-17,28,96,6,23,50,78,0,90,96,11,40,79,95,58,57,16,67,32
2025-07-24,5,4,13,0,3,46,47,1,93,55,17,61,78,39,32,28,66,95
2025-07-31,9,93,45,57,87,79,80,14,83,64,22,93,65,36,65,48,94,51
2025-08-07,67,24,77,50,14,69,75,73,1,52,87,61,35,41,99,48,30,18
2025-08-14,7,47,13,89,17,92,9,23,82,26,75,21,72,22,52,11,21,46
2025-08-21,96,31,28,49,44,83,89,56,4,50,4,18,66,18,86,21,90,61
2025-08-28,82,53,70,49,9,72,60,14,82,84,35,28,91,95,82,18,74,87
2025-09-04,74,9,47,24,37,38,14,54,76,32,37,91,90,83,56,50,48,26
2025-09-11,97,65,22,51,5,5,74,39,43,73,36,21,92,99,30,22,73,18
2025-09-18,89,89,84,23,41,47,89,63,92,26,89,9,40,36,19,17,9,63
2025-09-25,52,32,86,99,69,43,11,65,65,11,71,3,13,91,16,43,81,16
2025-10-02,18,83,57,97,66,33,45,44,1,8,58,54,81,56,43,93,13,14
2025-10-09,93,18,26,56,16,10,21,81,28,7,68,36,77,34,42,30,84,40
2025-10-16,61,42,74,82,93,95,58,80,8,33,89,86,95,75,82,63,32,69
2025-10-23,38,66,33,41,55,11,17,74,50,86,87,21,51,12,55,27,3,6
2025-10-30,11,49,33,61,72,4,14,35,47,64,13,38,36,92,64,63,7,97
2025-11-06,94,99,77,8,86,56,63,30,69,31,67,8,71,69,73,81,16,99
2025-11-13,14,2,84,48,6,55,12,98,74,75,22,20,46,77,88,13,67,82
2025-11-20,9,17,44,25,74,71,82,35,8,21,92,62,10,86,66,31,69,10
2025-11-27,8,0,46,23,49,88,64,27,13,23,75,74,95,4,40,26,27,92
2025-12-04,83,64,60,38,88,50,84,33,68,30,74,58,35,99,99,46,25,7
2025-12-11,56,21,45,16,88,26,10,50,84,68,95,95,1,70,50,73,90,63
2025-12-18,57,13,58,93,89,34,69,88,6,86,36,72,28,58,57,61,83,39
2025-12-25,57,29,30,73,75,96,75,41,13,72,3,34,61,57,87,45,46,13
2026-01-01,13,36,73,96,5,27,7,28,10,79,77,91,31,20,62,65,6,25
2026-01-08,11,36,16,67,27,72,85,36,62,90,90,3,88,2,49,15,29,54
2026-01-15,2,88,95,95,95,34,24,84,64,5,32,57,39,85,4,65,31,82
2026-01-22,86,12,0,98,99,7,6,44,98,52,97,60,79,40,49,77,91,8
2026-01-29,11,73,62,49,83,9,48,6,84,18,70,23,69,59,40,97,4,41
2026-02-05,60,25,21,31,81,26,29,66,72,54,30,2,70,53,61,91,49,46
2026-02-12,66,60,60,88,69,1,87,28,50,78,14,33,46,15,12,60,60,50
2026-02-19,93,30,57,26,63,76,67,23,15,60,25,40,47,76,69,32,67,8
2026-02-26,26,90,21,5,93,4,15,78,94,7,72,13,76,30,31,24,63,10
2026-03-05,5,2,79,80,32,60,77,64,69,84,25,33,80,15,35,4,85,11
2026-03-12,2,84,45,7,34,89,85,20,89,85,36,18,84,61,0,22,92,44
2026-03-19,49,59,17,35,41,46,38,27,70,2,21,15,31,63,67,22,19,94
2026-03-26,38,4,14,65,70,26,17,36,40,85,75,43,32,77,7,70,65,10
2026-04-02,9,18,25,83,70,13,60,39,16,28,2,24,45,53,1,46,11,72
2026-04-09,42,61,36,81,13,36,70,49,55,58,23,96,47,72,12,80,20,18
2026-04-16,18,82,51,33,19,86,1,40,92,90,2,25,55,83,85,59,5,48
2026-04-23,70,66,67,58,76,26,19,75,28,82,65,39,11,86,68,14,77,56
2026-04-30,77,33,34,10,18,23,71,76,24,72,13,44,84,98,23,59,71,49
2026-05-07,19,99,95,66,39,17,3,44,93,7,24,53,58,79,27,2,70,1
2026-05-14,41,79,13,61,75,3,2,78,45,99,6,27,52,62,65,76,59,10
2026-05-21,65,87,64,25,23,40,0,42,65,19,77,56,26,86,79,5,23,66
2026-05-28,62,83,31,98,2,11,38,71,35,72,82,97,19,47,84,49,54,86
2026-06-04,17,22,39,72,58,69,12,70,58,95,99,37,2,80,2,20,64,52
2026-06-11,38,85,6,2,69,83,14,82,54,63,51,93,96,23,90,8,86,43
2026-06-18,92,89,93,6,98,76,71,32,12,37,69,27,52,61,54,85,6,77
2026-06-25,13,9,45,50,91,95,95,15,90,95,77,76,91,40,72,89,86,49
2026-07-02,29,27,59,26,88,98,18,64,99,43,27,37,87,2,14,73,8,97
2026-07-09,36,60,51,44,66,42,35,32,21,97,34,26,88,21,34,68,7,6
