date,station,station_code,special,prize1,prize2,prize3_1,prize3_2,prize4_1,prize4_2,prize4_3,prize4_4,prize4_5,prize4_6,prize4_7,prize5,prize6_1,prize6_2,prize6_3,prize7,prize8
2025-07-17,An Giang,XSAG - AG-7K3,334828,99396,22306,25823,62650,26678,54600,25290,35596,5911,81340,18679,895,158,5857,2816,967,32
2025-07-24,An Giang,XSAG - AG-7K4,879405,46404,82513,63200,4003,91246,40447,7501,51693,53555,6817,52761,6878,2639,8432,2128,566,95
2025-07-31,An Giang,XSAG - AG-7K5,535109,40393,37145,27957,15387,97279,8580,39814,42083,13764,93622,93,8765,3936,2765,7048,94,51
2025-08-07,An Giang,XSAG - AG-8K1,577367,81324,69877,58650,44214,73069,67075,78473,21701,17752,47387,19661,2135,2141,7199,9148,130,18
2025-08-14,An Giang,XSAG - AG-8K2,692107,17047,86313,14189,31117,92792,11809,66723,79182,29226,42575,44921,7972,6522,252,9011,21,46
2025-08-21,An Giang,XSAG - AG-8K3,650396,55031,70128,74449,86644,35283,66389,69256,75704,72950,50704,79718,4066,3018,4486,3821,90,61
2025-08-28,An Giang,XSAG - AG-8K4,191282,3653,1770,71349,56409,4872,34960,96714,28682,31584,30335,55628,5291,1395,2882,6918,274,87
2025-09-04,An Giang,XSAG - AG-9K1,916474,21509,34347,45924,70637,88238,9514,47954,60976,22032,83137,16391,6390,5083,456,5450,548,26
2025-09-11,An Giang,XSAG - AG-9K2,824097,50965,55222,26551,86705,12805,52974,48239,30743,41973,16936,55321,6392,9599,2530,7422,173,18
2025-09-18,An Giang,XSAG - AG-9K3,599489,60989,35184,78823,62241,91347,25589,68863,99692,7226,89089,2809,6940,4936,5719,8117,209,63
2025-09-25,An Giang,XSAG - AG-9K4,107952,92632,76586,40699,47669,62443,51711,32865,31265,22811,14171,30103,6013,2991,9716,6943,581,16
2025-10-02,An Giang,XSAG - AG-10K1,274618,59683,64757,61297,57466,65133,22945,33944,49501,1108,12058,74654,3381,7956,9543,7993,513,14
2025-10-09,An Giang,XSAG - AG-10K2,42293,2518,49226,3856,4216,810,2321,681,51728,24507,58068,96136,8877,5934,7442,3430,884,40
2025-10-16,An Giang,XSAG - AG-10K3,576961,14242,80674,42382,97693,20795,97258,33280,79608,62033,29989,22086,3795,7075,1482,9863,532,69
2025-10-23,An Giang,XSAG - AG-10K4,698838,35266,92333,94341,42655,48711,28217,29874,95550,2886,72687,85421,9951,7912,8955,6227,703,6
2025-10-30,An Giang,XSAG - AG-10K5,227911,30149,18933,89961,11372,56904,44014,72035,91547,38164,13713,21838,9436,4392,7064,6363,707,97
2025-11-06,An Giang,XSAG - AG-11K1,359194,84399,17677,77308,39486,95556,86363,68430,57269,22531,73967,67608,7871,4869,873,8381,916,99
2025-11-13,An Giang,XSAG - AG-11K2,873614,84502,20984,87148,6606,88255,66412,46098,18074,8175,91122,28720,6946,3577,3888,2113,267,82
2025-11-20,An Giang,XSAG - AG-11K3,13309,3817,43444,50725,81474,50071,97982,65935,48908,58621,44392,4362,8210,5986,8366,1831,769,10
