date,special,prize1,prize2,prize3_1,prize3_2,prize4_1,prize4_2,prize4_3,prize4_4,prize4_5,prize4_6,prize4_7,prize5,prize6_1,prize6_2,prize6_3,prize7,prize8
2025-07-15,70,87,72,54,88,57,74,36,1,64,68,6,85,42,88,12,94,20
2025-07-22,81,20,55,61,75,72,85,84,53,53,92,81,44,10,28,53,92,84
2025-07-29,48,69,47,33,20,24,72,74,50,85,3,0,40,95,90,13,63,71
2025-08-05,98,1,81,72,78,28,32,19,11,97,94,5,35,37,22,10,97,31
2025-08-12,79,29,72,93,32,64,94,82,14,30,42,59,44,0,16,23,79,81
2025-08-19,4,8,93,42,8,27,88,48,14,68,16,74,6,95,60,61,30,14
2025-08-26,99,40,84,6,88,20,4,68,23,7,47,52,28,55,93,6,50,17
2025-09-02,13,17,2,68,5,7,12,15,76,25,46,59,95,48,98,53,86,57
2025-09-09,58,86,61,98,69,4,21,52,56,86,42,80,21,57,35,54,58,95
2025-09-16,10,78,57,78,10,88,50,88,46,23,63,86,43,90,56,90,87,14
2025-09-23,96,43,38,98,43,16,94,31,55,37,32,18,7,56,95,62,79,26
2025-09-30,83,29,58,64,94,81,45,92,38,64,16,86,58,37,75,74,37,70
2025-10-07,60,37,23,23,46,36,21,36,95,93,23,45,83,0,83,7,40,18
2025-10-14,97,99,15,26,37,19,79,85,14,59,64,49,42,48,25,3,14,29
2025-10-21,79,5,97,88,60,8,5,95,27,5,83,27,98,92,52,20,38,25
2025-10-28,21,64,36,45,6,28,45,6,81,74,79,82,55,97,14,74,30,90
2025-11-04,88,34,3,65,4,10,19,50,45,69,20,79,16,40,82,30,83,28
2025-11-11,56,45,66,4,74,26,71,95,82,2,7,19,24,40,35,15,71,85
2025-11-18,98,46,16,33,23,62,16,43,40,3,16,44,69,41,48,86,35,1
2025-11-25,0,83,29,3,0,48,27,55,45,39,91,61,98,45,40,69,7,80
2025-12-02,21,54,44,7,38,41,46,69,72,3,53,31,73,65,29,99,66,40
2025-12-09,67,2,2,23,63,14,97,93,91,70,1,57,62,67,60,34,83,55
2025-12-16,35,57,55,39,45,8,89,28,5,16,76,40,10,57,41,96,62,63
2025-12-23,12,34,77,20,16,65,77,43,1,50,18,67,11,87,70,46,77,65
2025-12-30,96,37,83,89,15,28,66,67,76,59,48,51,1,95,33,79,89,30
2026-01-06,4,80,99,17,70,38,65,82,96,15,41,71,72,14,8,1,71,53
2026-01-13,94,54,58,75,2,54,55,24,88,43,41,34,63,27,93,69,83,21
2026-01-20,20,93,83,18,46,41,52,57,89,71,88,32,24,75,8,27,33,21
2026-01-27,45,99,70,20,85,56,80,98,19,21,72,77,52,92,43,23,29,49
2026-02-03,76,61,50,46,24,95,79,16,27,52,73,40,10,33,76,89,85,92
2026-02-10,0,75,91,75,39,88,95,45,85,50,38,22,28,39,84,13,56,73
2026-02-17,97,67,41,20,3,95,14,0,29,98,18,45,39,82,50,21,4,61
2026-02-24,60,53,26,46,7,72,69,97,53,18,18,98,7,99,78,93,40,41
2026-03-03,15,75,47,2,74,75,22,49,5,73,4,69,61,50,32,6,78,28
2026-03-10,74,59,28,98,19,99,83,13,28,1,59,94,18,92,16,96,83,37
2026-03-17,59,29,67,3,40,67,7,65,55,34,3,41,73,94,8,29,88,98
2026-03-24,64,85,64,41,5,50,17,77,64,48,66,84,82,10,39,75,1,21
2026-03-31,56,41,14,83,43,30,29,25,82,27,68,56,41,31,78,15,50,97
2026-04-07,7,3,18,11,92,32,78,2,37,11,29,82,63,35,8,77,72,84
2026-04-14,50,72,68,99,8,93,31,75,45,14,98,65,29,60,50,38,37,45
2026-04-21,75,40,58,25,3,74,57,71,86,24,23,36,6,69,45,40,51,26
2026-04-28,92,81,99,80,47,50,45,69,31,21,39,12,7,68,74,28,56,95
2026-05-05,93,34,68,58,37,96,65,46,44,54,60,20,61,67,97,78,35,77
2026-05-12,48,94,89,97,64,55,72,16,88,20,7,50,30,31,94,66,88,7
2026-05-19,50,82,53,89,92,72,65,4,52,63,82,39,12,19,22,44,21,53
2026-05-26,56,90,34,82,35,76,47,39,38,27,4,43,75,50,35,42,26,14
2026-06-02,16,4,99,95,21,80,49,74,11,20,18,4,61,62,94,82,30,22
2026-06-09,18,1,5,3,59,92,63,74,30,82,46,1,47,76,98,70,67,6
2026-06-16,86,86,47,78,27,66,25,65,80,80,19,7,45,74,51,53,28,50
2026-06-23,31,33,33,34,38,2,85,16,7,66,1,83,87,0,14,55,47,77
2026-06-30,59,52,86,74,53,40,44,50,18,50,0,88,55,50,8,1,71,27
2026-07-07,92,46,13,82,68,3,7,5,75,86,77,1,53,80,96,40,76,15
