date,station,station_code,special,prize1,prize2,prize3_1,prize3_2,prize4_1,prize4_2,prize4_3,prize4_4,prize4_5,prize4_6,prize4_7,prize5,prize6_1,prize6_2,prize6_3,prize7,prize8
2025-07-15,Bạc Liêu,XSBL - T7-K3,865270,71787,75772,2154,24088,86157,52674,49036,72301,10164,4868,30206,9585,9442,9888,7512,94,20
2025-07-22,Bạc Liêu,XSBL - T7-K4,854681,65120,34555,21661,30375,47572,31185,1284,54653,4653,55792,19081,5744,7210,6828,6853,892,84
2025-07-29,Bạc Liêu,XSBL - T7-K5,34748,25869,43147,1533,77120,35524,17072,94874,96350,14685,54103,24500,7640,5095,3690,9513,363,71
2025-08-05,Bạc Liêu,XSBL - T8-K1,377898,43101,68981,34972,3078,79228,51232,15719,43211,15497,90794,7705,3835,6637,3222,7910,497,31
2025-08-12,Bạc Liêu,XSBL - T8-K2,457479,45129,8172,7093,12932,17664,36294,2682,35114,4030,77742,18859,1344,7600,9216,1623,179,81
2025-08-19,Bạc Liêu,XSBL - T8-K3,12104,37908,90293,94242,93108,69827,44788,14048,37314,10468,87516,4274,4606,1695,5360,4961,730,14
2025-08-26,Bạc Liêu,XSBL - T8-K4,37599,80940,54384,54006,55888,65920,88504,38468,52523,63007,32747,56552,2528,9855,2693,2206,450,17
2025-09-02,Bạc Liêu,XSBL - T9-K1,339113,42617,90202,43368,5105,15307,75312,31515,33576,67725,86946,90859,6995,6148,398,5553,86,57
2025-09-09,Bạc Liêu,XSBL - T9-K2,98958,38586,85461,97698,17569,37704,69421,56252,90656,72086,88642,42680,7421,1357,2135,3554,758,95
2025-09-16,Bạc Liêu,XSBL - T9-K3,47110,878,40657,76678,48210,38988,53650,54888,24346,95923,93463,22286,7743,2290,5256,2190,787,14
2025-09-23,Bạc Liêu,XSBL - T9-K4,933196,26343,64538,96498,46843,88716,85094,53031,61455,31237,83532,83218,8107,3256,7395,3562,779,26
2025-09-30,Bạc Liêu,XSBL - T9-K5,506883,28529,15958,28864,62094,43281,26145,3392,95438,62564,81916,88086,3958,3037,5275,6674,637,70
2025-10-07,Bạc Liêu,XSBL - T10-K1,764660,63437,32223,11623,80046,48036,36321,14836,99295,39293,27923,945,5683,2400,6483,8307,440,18
2025-10-14,Bạc Liêu,XSBL - T10-K2,982497,94199,87015,28726,35937,38119,37379,65485,54214,88859,31064,29649,7042,8448,9525,6903,514,29
2025-10-21,Bạc Liêu,XSBL - T10-K3,975779,67705,25097,10288,64960,54408,74405,79895,91527,43705,2983,13127,7698,892,9952,5120,338,25
2025-10-28,Bạc Liêu,XSBL - T10-K4,314521,13964,9136,1145,72606,9228,11945,18406,4981,16374,93179,24482,5655,4597,7014,6174,30,90
2025-11-04,Bạc Liêu,XSBL - T11-K1,980288,11734,27203,49265,15604,46610,6119,9050,82145,20169,95420,50979,1716,5440,482,6530,883,28
2025-11-11,Bạc Liêu,XSBL - T11-K2,330256,2145,78466,91304,37374,72126,72471,61695,77782,89002,61907,62019,4024,2540,8935,2115,471,85
2025-11-18,Bạc Liêu,XSBL - T11-K3,866098,25146,47316,6233,17823,14562,64416,16143,58040,95803,32716,14944,69,4741,2548,2086,35,1
2025-11-25,Bạc Liêu,XSBL - T11-K4,525400,75783,29,56303,9000,78348,87227,95755,96345,86739,37091,67561,9598,3345,240,2169,407,80
2025-12-02,Bạc Liêu,XSBL - T12-K1,501721,67554,67344,61207,85738,79941,3846,13069,61572,36903,12453,35331,273,5165,3629,3999,366,40
2025-12-09,Bạc Liêu,XSBL - T12-K2,86267,2302,50302,32723,36163,31514,35197,53993,66991,32670,30701,81357,162,5367,6560,7334,183,55
2025-12-16,Bạc Liêu,XSBL - T12-K3,824535,99757,91855,16339,93945,51608,54189,23928,88705,18216,7876,68640,7410,5557,3141,5796,562,63
2025-12-23,Bạc Liêu,XSBL - T12-K4,716812,44034,54077,53620,56516,33465,77877,28043,14601,17950,63018,48267,811,5887,2570,1946,477,65
2025-12-30,Bạc Liêu,XSBL - T12-K5,292496,38337,27383,95689,46115,16028,80566,84867,11076,38659,91948,68151,8801,6695,1433,7579,889,30
2026-01-06,Bạc Liêu,XSBL - T1-K1,417304,70180,83599,24417,60170,15138,6165,23382,95596,9015,58341,19671,2372,5814,9208,901,271,53
2026-01-13,Bạc Liêu,XSBL - T1-K2,75394,42354,75758,9775,59102,30754,9355,52224,90588,34443,33741,2234,9363,1227,3793,569,283,21
2026-01-20,Bạc Liêu,XSBL - T1-K3,787820,70893,91483,45418,90546,72741,91052,23957,79489,84471,57188,18532,5224,2475,5208,627,433,21
2026-01-27,Bạc Liêu,XSBL - T1-K4,195045,35099,45770,62120,21485,57356,41180,12098,91019,67221,39472,40177,4452,8292,8943,723,329,49
2026-02-03,Bạc Liêu,XSBL - T2-K1,97376,45561,69150,36646,30224,66795,29079,38616,25927,7852,7873,25340,9510,5233,5576,9289,485,92
2026-02-10,Bạc Liêu,XSBL - T2-K2,841500,36875,75791,3775,6839,37988,5395,13545,98185,92750,12538,44822,7728,6339,6684,3213,956,73
2026-02-17,Bạc Liêu,XSBL - T2-K3,749597,7667,27241,52720,84003,78995,5214,89600,85429,24598,96018,63345,4439,7982,750,9121,404,61
2026-02-24,Bạc Liêu,XSBL - T2-K4,10560,29153,88326,84446,77007,20372,58069,48397,31453,5518,61118,88698,6807,7799,8778,6593,840,41
2026-03-03,Bạc Liêu,XSBL - T3-K1,263815,95475,68147,29102,4474,36475,88122,93749,55205,94773,73004,67369,7361,9050,7932,3606,378,28
2026-03-10,Bạc Liêu,XSBL - T3-K2,927874,10959,79028,87298,39119,1399,37583,5613,91328,34101,24659,48594,418,5792,816,3796,583,37
2026-03-17,Bạc Liêu,XSBL - T3-K3,609459,10529,10067,37203,69440,34267,79307,72165,7455,35034,14203,36341,573,1794,1808,7629,388,98
2026-03-24,Bạc Liêu,XSBL - T3-K4,961864,10985,38864,66541,24105,37950,15217,9477,1964,52048,53466,30384,6182,9610,9139,1075,201,21
2026-03-31,Bạc Liêu,XSBL - T3-K5,412056,98041,84314,87283,61543,7130,72929,18325,99882,39527,68068,62056,9841,3031,5978,5315,50,97
2026-04-07,Bạc Liêu,XSBL - T4-K1,261807,97603,40418,3611,44192,39532,62878,10802,24537,57311,45229,83482,1163,2935,9008,6577,172,84
2026-04-14,Bạc Liêu,XSBL - T4-K2,499850,82272,79068,97499,30808,48893,83131,45675,82545,11814,72398,20865,29,8160,1950,1938,937,45
2026-04-21,Bạc Liêu,XSBL - T4-K3,196775,70440,50658,68525,15503,46274,88257,52771,53586,66624,12623,36536,6,4769,645,8240,251,26
2026-04-28,Bạc Liêu,XSBL - T4-K4,885692,45081,69099,66580,87347,51950,49245,63469,3331,89321,50239,5512,4507,9668,5074,8928,556,95
2026-05-05,Bạc Liêu,XSBL - T5-K1,66493,2034,56268,2558,45637,57396,88465,58246,13244,4254,73060,38620,4861,8567,8897,1178,735,77
2026-05-12,Bạc Liêu,XSBL - T5-K2,366748,39494,53189,11297,64064,3655,42372,82216,93788,75020,35907,88950,130,6131,4394,3766,588,7
2026-05-19,Bạc Liêu,XSBL - T5-K3,269950,49182,60753,15389,33492,88572,67365,26204,30352,30663,67082,43539,2512,1719,9622,5544,821,53
2026-05-26,Bạc Liêu,XSBL - T5-K4,85856,78390,4034,31582,55935,31176,33347,7539,39038,30627,57604,69743,8275,1750,1935,7742,726,14
