date,special,prize1,prize2,prize3_1,prize3_2,prize4_1,prize4_2,prize4_3,prize4_4,prize4_5,prize4_6,prize4_7,prize5,prize6_1,prize6_2,prize6_3,prize7,prize8
2025-07-15,60,41,33,80,72,77,81,0,94,97,91,3,7,42,81,76,7,84
2025-07-22,6,83,67,83,22,35,54,35,36,16,0,51,96,71,6,26,20,38
2025-07-29,93,92,5,79,56,37,72,61,50,29,80,54,9,4,41,11,22,77
2025-08-05,53,56,51,23,89,59,80,92,90,73,78,26,94,9,89,65,66,99
2025-08-12,61,24,32,4,55,2,61,90,65,4,6,54,69,13,62,52,60,88
2025-08-19,70,76,81,96,38,54,3,51,88,21,68,39,90,89,98,78,47,98
2025-08-26,4,35,19,10,52,77,20,95,32,41,73,39,10,19,12,23,79,67
2025-09-02,59,20,66,3,72,73,33,49,68,23,70,76,71,74,31,51,55,15
2025-09-09,26,92,87,32,52,30,24,98,38,39,70,24,35,81,25,84,25,72
2025-09-16,70,60,0,12,54,63,68,18,18,29,33,18,91,90,31,52,4,82
2025-09-23,11,82,99,25,62,76,87,68,16,22,92,24,34,92,16,26,15,62
2025-09-30,76,79,7,93,86,52,52,66,89,0,63,75,6,8,58,88,6,72
2025-10-07,4,53,5,34,49,92,80,52,50,25,73,15,89,31,28,74,31,93
2025-10-14,18,56,26,97,68,19,79,84,45,20,90,1,12,15,44,5,65,91
2025-10-21,96,84,72,56,19,0,64,64,85,59,11,37,15,82,23,40,18,34
2025-10-28,66,72,25,49,20,14,95,78,95,49,52,93,37,90,39,13,95,30
2025-11-04,2,80,76,69,4,52,36,75,11,2,84,63,91,95,6,92,79,60
2025-11-11,29,69,12,20,28,78,90,95,81,11,54,29,78,94,20,70,26,37
2025-11-18,50,65,56,70,32,88,18,99,6,76,61,56,11,95,78,72,11,53
2025-11-25,60,27,62,25,74,9,12,3,34,3,25,56,91,34,29,62,45,8
2025-12-02,78,94,34,55,68,68,5,55,4,33,25,90,43,66,84,75,36,89
2025-12-09,86,29,21,56,90,13,7,87,54,24,29,46,61,22,53,33,54,14
2025-12-16,28,14,82,27,61,71,35,28,81,20,75,0,90,64,31,94,63,29
2025-12-23,61,97,57,83,26,66,77,20,63,9,77,2,1,42,65,82,79,37
2025-12-30,61,64,55,31,86,86,74,17,21,7,9,21,28,33,52,19,96,37
2026-01-06,31,70,25,68,93,83,64,92,82,57,20,5,22,71,52,63,97,71
2026-01-13,26,55,67,59,14,14,31,83,89,33,10,68,33,31,60,58,57,7
2026-01-20,9,44,38,90,72,18,12,37,64,60,8,45,47,85,87,71,8,1
2026-01-27,81,94,33,24,53,14,25,5,35,92,0,49,94,31,43,21,95,99
2026-02-03,57,92,74,92,15,75,78,55,80,36,3,40,20,99,18,21,9,83
2026-02-10,43,25,14,60,62,51,84,31,20,64,87,54,13,61,15,5,91,73
2026-02-17,96,50,67,92,5,95,73,50,94,26,34,10,52,75,99,64,3,82
2026-02-24,94,39,78,18,23,15,8,62,99,7,75,50,29,69,47,10,12,12
2026-03-03,52,59,11,32,32,7,31,74,82,50,10,36,90,63,7,9,4,67
2026-03-10,91,57,55,40,0,55,97,69,8,59,72,4,88,19,59,47,77,93
2026-03-17,50,73,84,95,22,85,96,69,32,43,41,19,25,75,13,30,77,10
2026-03-24,5,64,87,81,37,62,96,57,11,64,93,71,10,70,59,98,5,91
2026-03-31,78,28,20,16,18,70,94,92,14,85,22,12,76,42,52,8,15,20
2026-04-07,80,53,98,50,97,14,33,35,99,37,84,79,63,47,93,89,33,18
2026-04-14,88,33,90,5,50,11,75,8,58,79,85,55,16,55,75,68,94,10
2026-04-21,72,94,24,92,34,8,69,20,95,45,99,27,2,70,77,50,39,53
2026-04-28,95,81,60,61,87,27,72,26,78,33,68,7,32,67,5,10,82,85
2026-05-05,9,21,2,82,7,32,91,63,52,52,67,38,57,67,22,20,27,95
2026-05-12,10,65,0,2,63,7,31,88,95,1,57,19,51,25,23,9,23,22
2026-05-19,84,9,57,87,1,47,17,69,88,31,9,91,67,44,9,23,57,90
2026-05-26,34,88,88,45,97,34,72,80,32,82,33,15,54,50,58,59,58,7
2026-06-02,66,35,50,64,31,19,82,50,74,29,94,99,94,22,64,13,3,99
2026-06-09,47,73,71,59,5,53,3,64,89,79,0,34,72,22,93,58,17,47
2026-06-16,72,64,53,31,2,79,71,85,35,98,23,79,3,31,81,92,2,83
2026-06-23,15,0,1,9,8,69,78,72,83,35,36,70,8,96,70,82,93,25
2026-06-30,21,87,53,34,91,14,2,41,92,54,95,78,87,2,88,56,50,66
2026-07-07,77,78,83,73,23,96,65,45,81,78,6,38,71,69,92,78,39,5
