date,station,station_code,special,prize1,prize2,prize3_1,prize3_2,prize4_1,prize4_2,prize4_3,prize4_4,prize4_5,prize4_6,prize4_7,prize5,prize6_1,prize6_2,prize6_3,prize7,prize8
2025-07-15,Bến Tre,XSBTR - K28-T07,749460,35541,15733,41680,46672,4677,30681,60300,93994,69597,83891,16303,3507,7342,3781,5976,707,84
2025-07-22,Bến Tre,XSBTR - K29-T07,955806,65983,67467,17083,53622,98235,83454,61635,14936,90216,61400,1151,996,271,8406,4426,220,38
2025-07-29,Bến Tre,XSBTR - K30-T07,531493,34792,99905,68779,34856,79237,50072,70261,40750,67529,47280,8354,8009,904,8341,7211,622,77
2025-08-05,Bến Tre,XSBTR - K31-T08,438553,6456,48551,56823,48089,1559,93980,6392,73690,94073,37278,31726,7794,8609,1389,6865,766,99
2025-08-12,Bến Tre,XSBTR - K32-T08,351261,56224,21432,55504,38455,40502,55661,51890,33765,98904,56406,93954,5869,5913,8762,5452,260,88
2025-08-19,Bến Tre,XSBTR - K33-T08,280370,4576,50981,24496,16938,27354,53603,76951,79888,9021,60568,53239,1590,9389,4398,5778,747,98
2025-08-26,Bến Tre,XSBTR - K34-T08,811004,72935,54819,49210,25852,55577,83020,97395,13332,48041,61973,47339,5710,9919,6512,9923,979,67
2025-09-02,Bến Tre,XSBTR - K35-T09,855159,62420,28266,99503,42872,65073,3433,39549,81068,16023,78570,77076,971,5474,7631,1651,655,15
2025-09-09,Bến Tre,XSBTR - K36-T09,198926,53792,58587,5032,49852,9930,64424,31398,66538,17339,30770,75424,6835,9681,3525,8784,125,72
2025-09-16,Bến Tre,XSBTR - K37-T09,390670,55660,74900,68312,40454,64563,43568,31918,33218,7129,12033,63518,9391,9990,5031,2652,804,82
2025-09-23,Bến Tre,XSBTR - K38-T09,810611,63782,40199,47325,14862,55276,6887,868,63316,33622,4792,89924,534,9592,8616,926,415,62
2025-09-30,Bến Tre,XSBTR - K39-T09,67576,38879,55707,96693,33686,71552,51852,81666,8289,26500,25763,1475,1706,8608,3958,5688,806,72
2025-10-07,Bến Tre,XSBTR - K40-T10,973204,36753,2305,44434,83849,33992,71280,49952,40050,8825,65573,60215,5289,7631,6028,874,531,93
2025-10-14,Bến Tre,XSBTR - K41-T10,40618,19956,34426,797,10368,12419,3779,3084,99345,80920,90490,46201,5212,8515,1744,6505,665,91
2025-10-21,Bến Tre,XSBTR - K42-T10,132596,58184,36272,73556,66319,86200,84564,99564,16785,88459,58211,59037,7515,7882,9223,9740,818,34
2025-10-28,Bến Tre,XSBTR - K43-T10,450066,74172,3225,71749,15020,87914,5295,678,50795,149,60652,80093,1937,2190,5939,6513,495,30
2025-11-04,Bến Tre,XSBTR - K44-T11,94402,45680,38576,19369,80804,69752,90236,56675,44711,91602,23284,63063,6791,6295,6406,6692,979,60
2025-11-11,Bến Tre,XSBTR - K45-T11,238329,79069,75912,77420,91328,84878,77490,77295,45381,8811,66854,11229,1578,7994,220,8870,426,37
2025-11-18,Bến Tre,XSBTR - K46-T11,791950,5365,52556,83970,67632,78288,66218,49699,73806,776,79661,91556,7811,4395,478,8472,611,53
2025-11-25,Bến Tre,XSBTR - K47-T11,878960,18227,28662,68325,97674,76209,71412,44203,80434,8903,48825,17856,9891,2734,9229,1962,845,8
2025-12-02,Bến Tre,XSBTR - K48-T12,419478,8294,89334,9355,11568,73368,76305,15255,16804,91033,78225,94690,1243,6466,5584,3575,736,89
2025-12-09,Bến Tre,XSBTR - K49-T12,257886,66629,19021,88956,41090,80913,38907,26387,67954,66624,48629,57046,4661,2022,6053,3533,454,14
2025-12-16,Bến Tre,XSBTR - K50-T12,1628,54914,76082,99427,3661,86571,13435,45128,81081,58920,24075,99500,5690,6064,9031,7094,363,29
