date,special,prize1,prize2,prize3_1,prize3_2,prize4_1,prize4_2,prize4_3,prize4_4,prize4_5,prize4_6,prize4_7,prize5,prize6_1,prize6_2,prize6_3,prize7,prize8
2025-07-18,82,14,79,34,75,94,36,21,72,94,3,26,46,6,14,46,50,18
2025-07-25,47,60,80,55,80,46,74,76,94,57,77,1,79,18,70,26,52,97
2025-08-01,66,58,2,59,11,5,47,39,57,61,27,76,21,56,27,32,16,19
2025-08-08,82,48,18,12,87,35,55,32,99,1,36,89,18,22,75,79,50,38
2025-08-15,83,21,37,96,65,94,23,80,2,36,47,23,35,87,18,12,41,26
2025-08-22,96,19,48,23,20,97,92,32,10,69,30,15,55,5,37,51,54,6
2025-08-29,28,0,10,40,13,43,70,0,55,42,28,81,46,35,63,66,27,58
2025-09-05,32,32,72,15,20,97,80,11,9,73,71,98,14,32,87,60,15,82
2025-09-12,69,30,44,16,50,10,38,69,52,92,53,49,14,70,55,64,91,24
2025-09-19,12,20,59,12,28,52,61,24,57,77,40,20,32,50,39,63,64,81
2025-09-26,35,31,12,96,10,70,67,68,27,6,92,99,53,93,70,11,81,50
2025-10-03,30,23,66,50,61,30,10,20,92,43,60,75,75,93,34,78,19,81
2025-10-10,59,41,11,28,50,83,79,95,78,83,0,77,25,19,36,87,51,35
2025-10-17,64,62,23,67,24,20,8,73,2,39,13,95,97,53,49,81,37,4
2025-10-24,50,97,48,93,48,23,69,1,41,81,90,83,11,48,8,74,50,61
2025-10-31,65,59,1,8,27,3,14,36,48,44,95,57,22,69,34,13,5,64
2025-11-07,71,32,56,31,52,65,74,51,15,1,48,51,36,69,85,27,95,56
2025-11-14,56,29,83,47,53,44,34,8,22,90,28,81,76,7,91,89,86,94
2025-11-21,76,6,46,5,29,19,21,12,27,68,92,45,68,4,4,90,85,38
2025-11-28,76,85,96,43,54,23,33,50,54,85,17,52,46,22,98,99,13,1
2025-12-05,47,9,16,16,90,21,81,18,7,39,0,92,0,87,23,24,11,41
2025-12-12,82,11,75,38,80,79,9,77,36,87,86,71,43,86,84,34,51,33
2025-12-19,85,57,63,13,33,36,97,52,78,35,83,32,12,15,8,69,68,35
2025-12-26,32,15,80,47,73,14,79,37,30,15,81,69,40,22,31,31,92,43
2026-01-02,41,73,58,66,74,59,3,41,82,98,38,75,37,94,99,28,42,39
2026-01-09,80,82,38,29,21,3,33,30,5,67,2,12,46,43,27,4,81,96
2026-01-16,8,17,16,22,43,1,93,22,5,49,27,66,3,74,6,31,58,55
2026-01-23,11,74,65,74,69,25,94,54,39,18,60,50,28,58,12,53,40,23
2026-01-30,20,64,44,3,48,80,1,63,81,43,71,42,21,59,50,65,95,53
2026-02-06,37,74,95,9,18,38,6,94,11,78,65,69,53,32,99,60,96,13
2026-02-13,4,51,53,95,99,38,73,92,68,34,9,96,28,48,2,67,16,88
2026-02-20,16,4,98,85,57,86,5,42,70,84,78,70,32,21,40,29,91,54
2026-02-27,27,13,11,83,45,51,74,48,10,56,90,82,39,91,48,9,83,22
2026-03-06,99,23,29,60,29,65,45,35,29,51,78,12,82,94,72,97,62,31
2026-03-13,88,14,26,26,90,50,9,91,36,8,73,92,49,27,89,80,23,43
2026-03-20,62,13,53,29,27,75,72,4,63,69,58,57,6,61,21,13,92,10
2026-03-27,71,47,41,3,75,19,36,8,94,45,78,66,94,25,15,38,69,61
2026-04-03,57,72,43,65,70,22,72,34,13,46,32,61,48,21,71,73,70,12
2026-04-10,50,45,55,5,58,36,90,41,32,25,4,60,79,53,58,54,57,17
2026-04-17,60,44,82,25,81,54,20,90,70,21,97,43,64,14,35,98,77,6
2026-04-24,87,72,90,8,91,75,20,39,89,72,28,37,48,17,98,71,96,87
2026-05-01,30,23,76,30,67,56,25,98,25,75,32,43,11,83,6,43,47,35
2026-05-08,52,35,86,30,5,17,35,77,27,17,87,98,61,7,72,5,72,39
2026-05-15,19,7,31,79,24,8,28,43,85,43,28,95,33,95,30,33,71,39
2026-05-22,33,48,68,39,10,38,80,17,55,77,40,86,70,31,57,39,25,91
2026-05-29,94,20,60,44,19,98,38,34,49,29,12,75,85,66,45,38,35,49
2026-06-05,8,0,19,59,54,57,50,23,94,23,41,91,87,61,71,85,77,52
2026-06-12,93,8,14,76,55,30,50,46,78,36,49,81,59,22,60,84,97,83
2026-06-19,0,52,77,15,37,53,90,27,39,96,18,21,51,78,85,72,11,62
2026-06-26,21,66,37,22,38,73,59,46,59,32,3,21,54,2,96,59,76,39
2026-07-03,12,34,72,66,21,41,85,3,47,67,51,52,15,73,69,22,55,22
2026-07-10,95,61,11,13,29,3,74,28,5,29,80,2,50,42,11,2,38,63
