date,station,station_code,special,prize1,prize2,prize3_1,prize3_2,prize4_1,prize4_2,prize4_3,prize4_4,prize4_5,prize4_6,prize4_7,prize5,prize6_1,prize6_2,prize6_3,prize7,prize8
2025-07-12,Bình Phước,XSBP - 7K2-N25,617949,81476,84752,95824,37024,34200,31852,58184,30619,37506,43904,45056,9313,8183,4873,990,683,19
2025-07-19,Bình Phước,XSBP - 7K3-N25,416775,6737,45401,39921,72676,32969,16714,95145,94110,35990,16371,2248,1755,1993,133,6804,750,43
2025-07-26,Bình Phước,XSBP - 7K4-N25,492783,83022,42432,49961,18340,85342,47198,64612,74092,1203,86159,24003,8802,624,4516,8064,439,53
2025-08-02,Bình Phước,XSBP - 8K1-N25,447389,22079,60319,29748,38843,71430,46499,98120,76717,86036,76634,56853,7396,9817,8365,2997,167,55
2025-08-09,Bình Phước,XSBP - 8K2-N25,396169,57583,66443,49087,2352,19211,89436,26298,33260,98469,37238,72711,1725,552,6880,2834,735,26
2025-08-16,Bình Phước,XSBP - 8K3-N25,724872,9293,47087,19763,5875,85718,27064,57175,95982,49993,22179,85106,3895,2354,7387,5901,237,81
2025-08-23,Bình Phước,XSBP - 8K4-N25,169195,39928,99439,5828,31167,3988,31969,36857,94660,50214,79028,79257,6746,153,1941,7440,297,13
2025-08-30,Bình Phước,XSBP - 8K5-N25,154811,70121,35089,64654,40090,71339,49763,35603,74178,622,16250,4419,5971,2266,315,5853,622,84
2025-09-06,Bình Phước,XSBP - 9K1-N25,870726,76430,15589,58572,27551,86836,24813,86996,38960,42392,47915,83514,3384,4815,3739,8225,682,65
2025-09-13,Bình Phước,XSBP - 9K2-N25,384452,17307,96832,82405,34208,30668,88757,10040,8856,94345,36212,78094,5859,673,7586,679,402,26
2025-09-20,Bình Phước,XSBP - 9K3-N25,663442,50230,64164,69003,29998,7750,51238,17922,45968,17892,66683,78451,7396,8877,374,3559,524,68
2025-09-27,Bình Phước,XSBP - 9K4-N25,490506,77758,67565,64236,37551,58036,84876,4855,52843,92092,88055,12088,7727,7391,6424,4503,664,94
2025-10-04,Bình Phước,XSBP - 10K1-N25,770091,2654,80195,39909,9449,26635,12069,60447,5519,26455,35568,30667,8919,2205,6920,8829,635,40
