date,special,prize1,prize2,prize3_1,prize3_2,prize4_1,prize4_2,prize4_3,prize4_4,prize4_5,prize4_6,prize4_7,prize5,prize6_1,prize6_2,prize6_3,prize7,prize8
2025-07-17,83,39,52,98,31,88,6,83,56,15,49,38,80,58,51,38,59,78
2025-07-24,0,51,25,97,71,64,22,7,37,63,10,22,3,14,53,1,82,63
2025-07-31,16,40,65,84,37,61,59,43,77,47,11,92,11,22,94,63,20,76
2025-08-07,32,87,68,67,33,44,37,4,12,69,45,52,86,91,78,84,52,30
2025-08-14,72,70,15,4,99,87,40,35,27,65,27,94,60,14,2,48,29,62
2025-08-21,98,86,81,49,89,81,42,5,56,79,94,71,83,62,78,49,27,29
2025-08-28,58,35,92,58,55,83,54,65,79,16,2,17,73,2,24,55,57,29
2025-09-04,79,28,17,50,1,48,66,80,52,23,10,84,59,7,31,38,93,24
2025-09-11,29,85,34,97,86,21,35,36,65,1,38,26,93,14,95,86,72,76
2025-09-18,7,89,91,2,38,83,94,20,94,53,32,62,75,95,16,3,5,37
2025-09-25,20,66,12,24,33,29,96,56,0,19,66,92,32,40,76,50,70,13
2025-10-02,78,33,73,8,64,41,19,31,29,62,17,34,98,86,13,58,67,95
2025-10-09,59,16,44,60,14,22,8,66,10,74,59,18,6,76,79,95,50,30
2025-10-16,32,29,10,57,62,92,54,79,81,66,58,32,58,68,68,83,56,96
2025-10-23,14,17,66,38,44,47,85,90,34,45,44,36,36,33,20,56,54,96
2025-10-30,5,65,27,87,59,8,1,18,99,90,6,70,33,38,54,99,77,68
2025-11-06,8,22,70,29,93,49,84,84,61,30,42,39,27,89,91,39,63,61
2025-11-13,95,15,24,32,5,7,88,75,92,89,35,7,64,56,20,17,55,90
2025-11-20,13,32,46,98,60,90,68,90,97,2,47,17,12,91,22,10,80,70
2025-11-27,17,45,30,90,17,71,66,99,59,54,83,7,36,13,61,88,15,33
2025-12-04,75,22,97,54,95,78,64,18,9,17,46,6,44,72,89,25,4,56
2025-12-11,27,34,8,60,59,47,4,49,86,55,31,39,90,29,7,96,53,38
2025-12-18,83,1,34,23,1,46,30,65,6,1,35,29,14,9,53,25,72,3
2025-12-25,79,22,32,26,57,4,39,65,34,96,33,54,25,88,4,87,32,26
2026-01-01,21,21,82,69,43,53,17,5,97,89,23,21,96,6,68,74,99,74
2026-01-08,5,89,62,2,72,69,55,73,44,98,19,18,93,98,27,6,28,28
2026-01-15,7,28,70,66,48,45,57,87,42,89,45,26,5,44,35,39,14,23
2026-01-22,95,80,32,83,26,23,40,73,2,14,16,87,12,91,89,13,19,2
2026-01-29,76,3,17,73,62,80,67,0,84,60,89,97,7,53,23,81,49,82
2026-02-05,58,53,38,9,50,98,21,65,39,98,74,39,88,9,90,74,19,76
2026-02-12,13,23,46,3,67,43,32,83,70,25,47,71,87,81,49,65,49,76
2026-02-19,1,64,87,50,41,23,89,74,55,26,61,93,86,86,91,78,63,22
2026-02-26,6,10,49,28,46,8,54,5,45,17,34,19,3,22,32,52,73,1
2026-03-05,3,41,90,37,55,87,50,52,7,73,48,11,51,38,42,89,80,70
2026-03-12,96,21,25,54,53,64,7,4,71,4,50,22,90,53,50,95,45,5
2026-03-19,32,2,50,56,61,32,71,95,78,66,23,8,22,86,52,32,36,77
2026-03-26,19,25,6,25,61,99,16,61,36,64,57,39,43,23,42,40,90,59
2026-04-02,76,31,34,29,8,86,10,39,26,19,93,91,18,90,84,15,23,97
2026-04-09,91,10,16,10,70,73,75,81,5,92,8,91,11,38,3,34,20,85
2026-04-16,74,87,39,60,19,51,67,52,72,59,47,28,73,5,80,42,9,36
2026-04-23,2,52,57,78,4,10,33,60,97,13,25,16,11,30,30,43,78,31
2026-04-30,65,2,67,18,74,83,66,89,86,66,85,19,5,82,91,97,28,10
2026-05-07,93,83,82,27,97,78,62,37,80,60,82,59,28,48,46,79,44,13
2026-05-14,0,19,29,83,3,1,33,62,0,81,57,50,0,38,35,50,55,61
2026-05-21,31,36,59,96,6,80,47,70,57,87,16,24,21,28,37,89,74,66
2026-05-28,0,65,40,84,89,70,45,38,71,97,57,29,45,30,57,78,51,46
2026-06-04,67,34,55,23,22,67,50,43,5,26,91,31,33,91,18,16,5,3
2026-06-11,16,7,33,1,19,23,5,60,82,29,51,58,82,22,81,83,0,88
2026-06-18,62,3,43,19,40,64,37,50,22,56,16,93,39,95,70,71,75,98
2026-06-25,53,81,11,87,1,33,87,20,25,53,47,81,24,85,84,14,24,66
2026-07-02,94,7,2,22,91,55,97,37,63,43,27,58,79,59,73,87,0,65
2026-07-09,30,46,69,42,81,65,9,42,4,79,5,59,24,86,28,35,62,36
