date,station,station_code,special,prize1,prize2,prize3_1,prize3_2,prize4_1,prize4_2,prize4_3,prize4_4,prize4_5,prize4_6,prize4_7,prize5,prize6_1,prize6_2,prize6_3,prize7,prize8
2025-07-17,Bình Thuận,XSBTH - 7K3,444683,49139,78252,38598,14931,7688,63106,55983,15356,20515,73849,97338,780,7858,3451,8838,959,78
2025-07-24,Bình Thuận,XSBTH - 7K4,783100,55251,98825,53997,53871,51464,11822,56207,54637,13263,90510,32622,3903,4214,2053,2501,882,63
2025-07-31,Bình Thuận,XSBTH - 7K5,717416,99740,94765,3784,41837,2361,54559,7643,9477,16247,22111,25392,11,2922,2494,9463,820,76
2025-08-07,Bình Thuận,XSBTH - 8K1,359832,38587,10568,25767,18633,58444,98537,61204,44112,91469,83945,54152,6386,8591,3278,684,852,30
2025-08-14,Bình Thuận,XSBTH - 8K2,666272,83070,69415,51404,65899,78387,74340,84435,5427,37065,38827,89594,3760,9414,4802,8248,929,62
2025-08-21,Bình Thuận,XSBTH - 8K3,601298,16586,58581,98549,10589,80581,90542,70705,61056,10579,94,44971,5783,3762,4178,1049,427,29
2025-08-28,Bình Thuận,XSBTH - 8K4,422358,62435,55992,81858,43155,8883,44354,46965,92479,36516,36802,11617,8473,8102,5224,5055,157,29
2025-09-04,Bình Thuận,XSBTH - 9K1,626079,17828,26217,17250,23101,14048,84866,20180,53952,52823,32910,12884,359,8507,7631,4238,693,24
2025-09-11,Bình Thuận,XSBTH - 9K2,779229,62685,36934,17197,5286,18821,83335,65336,60465,52701,44038,45326,8293,8014,2695,4286,772,76
2025-09-18,Bình Thuận,XSBTH - 9K3,304707,4089,53791,4502,13538,68483,39394,46420,61994,43353,29132,73662,9375,1495,2316,9103,205,37
2025-09-25,Bình Thuận,XSBTH - 9K4,32820,30366,59812,41224,64933,62529,7996,37256,20500,25719,59666,21392,3432,1740,9976,5650,370,13
2025-10-02,Bình Thuận,XSBTH - 10K1,945978,31333,20173,42408,32764,30041,13619,431,14729,72362,23617,21034,8798,4286,7713,2658,367,95
2025-10-09,Bình Thuận,XSBTH - 10K2,734059,32016,4444,86160,63614,85022,91508,30566,39510,47874,50959,17218,7406,1676,8579,8195,650,30
2025-10-16,Bình Thuận,XSBTH - 10K3,814132,96629,45210,4157,162,5792,36754,74179,97581,11766,49558,69932,3658,7568,7268,2083,256,96
2025-10-23,Bình Thuận,XSBTH - 10K4,214314,70817,75766,67038,23844,76047,69085,290,75734,51345,84444,20636,9536,8833,2920,1356,254,96
2025-10-30,Bình Thuận,XSBTH - 10K5,222305,26065,1527,79587,18459,64508,16101,53018,5299,25090,22306,63470,6733,7938,4354,9899,977,68
2025-11-06,Bình Thuận,XSBTH - 11K1,386608,50822,84870,14129,17393,1449,15184,73484,59961,22730,12342,40439,6527,4289,1691,3539,363,61
2025-11-13,Bình Thuận,XSBTH - 11K2,119695,7215,10324,4632,44005,52607,24388,6375,21892,73689,93235,48807,6664,9056,620,9717,655,90
2025-11-20,Bình Thuận,XSBTH - 11K3,289313,70632,18546,4898,28660,77990,54268,21090,14797,65002,63347,99617,4712,6691,5322,6210,280,70
