date,special,prize1,prize2,prize3_1,prize3_2,prize4_1,prize4_2,prize4_3,prize4_4,prize4_5,prize4_6,prize4_7,prize5,prize6_1,prize6_2,prize6_3,prize7,prize8
2025-07-14,39,83,62,76,31,11,77,72,43,68,62,67,88,62,13,53,54,31
2025-07-21,37,63,94,29,9,97,21,31,12,67,72,12,53,30,74,45,33,70
2025-07-28,1,67,24,43,30,55,54,7,51,62,63,98,55,72,85,8,58,55
2025-08-04,47,24,27,30,89,42,2,19,86,4,18,54,3,49,52,9,27,92
2025-08-11,38,72,35,5,4,14,9,87,95,27,8,37,33,36,85,62,59,57
2025-08-18,3,39,24,75,66,12,92,61,39,27,92,1,14,23,67,26,33,32
2025-08-25,11,98,52,74,50,10,31,70,34,43,54,48,84,65,96,0,49,39
2025-09-01,23,69,89,73,63,48,92,66,8,5,59,82,64,79,81,39,27,5
2025-09-08,14,32,33,92,27,54,80,63,29,57,3,91,80,15,93,2,41,27
2025-09-15,59,24,18,80,31,59,77,6,86,98,35,6,12,29,20,49,23,72
2025-09-22,95,96,95,86,40,52,50,53,94,66,98,90,74,69,23,37,44,24
2025-09-29,5,83,69,53,64,42,19,50,60,53,39,73,73,62,44,22,94,38
2025-10-06,92,58,35,74,67,32,24,32,40,18,61,26,92,89,9,93,66,22
2025-10-13,6,39,67,78,24,62,36,46,37,35,11,90,87,67,16,98,34,86
2025-10-20,48,0,24,48,88,26,77,78,11,57,24,20,18,46,1,72,52,2
2025-10-27,63,71,68,58,36,39,8,3,53,35,80,93,39,56,47,1,13,10
2025-11-03,91,23,96,44,97,89,8,30,99,66,63,72,60,91,91,35,59,85
2025-11-10,46,53,1,86,96,62,15,85,37,84,22,1,90,56,94,35,26,87
2025-11-17,85,21,51,13,59,6,70,89,96,62,32,11,77,19,45,33,76,9
2025-11-24,23,59,27,33,99,44,0,55,27,30,35,95,31,90,88,74,94,36
2025-12-01,53,72,12,6,26,34,60,73,59,1,37,15,35,83,14,82,72,2
2025-12-08,11,62,56,77,55,48,99,20,80,58,68,74,53,25,89,63,22,0
2025-12-15,12,50,59,25,63,62,66,18,14,16,89,25,30,29,2,44,45,67
2025-12-22,99,4,8,36,99,17,45,92,7,22,60,73,57,28,33,73,11,18
2025-12-29,37,30,47,43,30,70,19,11,15,77,9,1,49,72,27,43,54,38
2026-01-05,35,91,62,97,13,10,8,32,17,44,82,60,2,18,6,26,67,31
2026-01-12,88,44,7,55,68,99,69,66,3,42,47,13,86,21,11,4,40,7
2026-01-19,91,48,10,14,30,31,12,12,19,12,75,31,17,63,45,46,57,27
2026-01-26,76,84,37,64,11,13,62,58,24,81,16,88,23,94,40,24,17,29
2026-02-02,76,15,65,3,39,70,40,58,1,45,41,3,91,39,79,99,15,94
2026-02-09,53,32,29,17,94,36,19,80,59,49,65,28,34,55,76,82,80,68
2026-02-16,23,82,5,75,0,43,82,76,91,55,44,29,88,32,37,78,10,83
2026-02-23,98,41,87,85,35,35,94,93,75,57,51,86,25,33,75,64,40,90
2026-03-02,47,27,97,89,33,9,22,74,20,75,71,39,34,37,69,28,83,47
2026-03-09,27,67,35,78,27,24,42,86,69,94,51,91,33,15,97,96,72,90
2026-03-16,5,69,64,45,46,65,82,70,68,90,87,28,52,86,68,16,21,73
2026-03-23,71,47,56,48,21,28,18,74,12,9,78,69,66,18,55,12,82,26
2026-03-30,92,29,56,72,98,22,61,11,58,97,88,10,82,47,66,53,67,85
2026-04-06,17,15,55,69,31,84,66,73,88,56,16,57,72,31,11,41,32,45
2026-04-13,5,97,67,18,87,51,64,11,16,20,26,30,3,44,62,87,14,50
2026-04-20,54,4,22,99,91,48,61,78,50,82,50,80,34,30,5,5,19,53
2026-04-27,14,31,57,61,27,83,67,69,56,45,21,86,54,8,47,4,19,79
2026-05-04,25,24,87,73,43,94,95,94,28,52,91,11,85,53,74,77,60,16
2026-05-11,44,94,1,17,97,9,98,91,62,3,0,99,65,75,16,6,38,23
2026-05-18,98,65,78,89,81,68,59,44,66,89,65,91,92,8,32,16,14,17
2026-05-25,59,14,0,92,74,2,29,72,87,47,15,27,89,37,17,90,32,91
2026-06-01,58,29,20,42,84,76,97,70,61,44,96,49,40,74,61,25,9,39
2026-06-08,22,79,29,81,52,89,31,9,84,88,36,85,58,35,2,32,29,75
2026-06-15,35,35,54,40,15,35,51,50,3,53,30,42,13,15,10,5,69,47
2026-06-22,73,62,7,75,1,64,88,32,98,92,66,42,88,78,58,83,30,60
2026-06-29,64,19,31,57,7,87,87,92,43,74,23,4,48,80,29,6,68,58
2026-07-06,23,52,79,82,50,83,57,42,23,30,83,90,4,7,32,81,81,46
