date,special,prize1,prize2,prize3_1,prize3_2,prize4_1,prize4_2,prize4_3,prize4_4,prize4_5,prize4_6,prize4_7,prize5,prize6_1,prize6_2,prize6_3,prize7,prize8
2025-07-16,59,17,14,84,2,21,49,9,51,14,25,28,37,45,45,7,37,46
2025-07-23,32,77,84,13,6,79,17,6,98,49,46,60,50,75,23,60,85,54
2025-07-30,26,0,48,24,99,10,35,17,84,87,35,43,23,30,31,26,8,64
2025-08-06,54,18,38,95,83,86,8,82,48,80,88,13,97,25,95,51,13,73
2025-08-13,44,89,87,87,60,8,53,81,63,84,25,17,86,63,46,99,26,56
2025-08-20,4,7,54,8,28,52,38,7,58,1,39,28,59,29,53,34,62,78
2025-08-27,38,7,33,77,73,81,59,82,51,76,56,6,60,93,3,25,41,58
2025-09-03,32,14,68,27,30,39,80,31,8,52,83,85,19,40,81,47,54,82
2025-09-10,61,93,29,29,79,4,99,8,71,11,98,55,32,48,69,47,71,92
2025-09-17,85,86,84,6,42,6,30,96,83,92,29,18,41,98,84,64,48,44
2025-09-24,74,48,11,91,22,73,83,67,93,22,70,17,20,62,53,39,2,12
2025-10-01,21,55,6,40,31,18,43,9,9,89,28,43,23,45,59,54,69,76
2025-10-08,39,76,74,71,81,53,13,23,33,24,58,82,63,89,82,22,33,84
2025-10-15,18,24,45,90,30,30,46,19,11,11,91,80,21,83,51,33,0,25
2025-10-22,41,64,36,84,87,51,69,94,57,34,9,83,39,48,78,89,92,21
2025-10-29,11,81,40,33,49,31,40,26,29,94,74,67,34,26,3,50,24,54
2025-11-05,79,88,9,85,67,16,22,29,43,72,76,84,41,47,77,46,82,76
2025-11-12,47,61,90,23,71,92,95,47,21,42,87,55,76,71,6,60,44,31
2025-11-19,60,78,85,68,94,67,80,21,76,96,37,98,55,52,74,89,45,38
2025-11-26,48,38,99,8,83,58,49,0,21,97,52,63,69,12,44,11,34,9
2025-12-03,69,20,50,11,31,11,51,26,79,38,23,0,12,79,13,77,84,97
2025-12-10,92,73,82,13,83,32,32,79,3,22,9,74,56,26,63,33,14,20
2025-12-17,97,17,65,86,91,62,56,35,89,3,49,47,81,45,53,80,30,5
2025-12-24,89,83,64,62,60,48,7,3,98,12,20,86,17,73,31,55,87,85
2025-12-31,52,35,33,58,36,77,17,34,4,72,74,22,68,49,30,67,22,99
2026-01-07,97,18,53,71,41,53,22,99,74,75,82,2,82,77,25,58,31,1
2026-01-14,71,81,42,74,52,14,88,80,51,78,12,75,24,48,19,13,25,66
2026-01-21,14,69,70,35,98,46,79,80,75,43,21,89,83,34,85,88,3,21
2026-01-28,37,70,92,32,45,44,91,28,17,0,85,78,56,37,44,28,25,4
2026-02-04,63,64,71,95,51,24,10,47,75,65,42,13,88,64,40,82,31,76
2026-02-11,43,41,65,12,71,23,93,88,25,14,75,95,17,79,75,26,73,34
2026-02-18,20,85,0,2,50,30,60,89,53,12,24,2,90,67,55,66,61,85
2026-02-25,38,8,4,22,50,90,36,48,35,69,13,86,46,42,97,10,58,54
2026-03-04,35,70,93,23,38,74,4,71,55,28,12,82,12,93,99,40,83,61
2026-03-11,15,54,23,68,52,87,9,51,27,84,89,25,4,66,14,16,76,56
2026-03-18,56,82,85,7,67,89,29,71,68,10,30,22,95,27,25,84,26,31
2026-03-25,33,4,87,75,84,30,25,9,83,99,68,58,95,75,6,31,15,38
2026-04-01,61,31,3,23,75,59,59,7,60,27,28,1,82,47,52,66,55,15
2026-04-08,49,47,3,45,73,44,94,44,40,70,38,36,76,36,10,77,22,91
2026-04-15,11,26,84,80,35,15,70,75,75,7,4,53,93,79,49,18,94,31
2026-04-22,49,14,75,67,66,85,12,76,85,47,24,71,81,31,25,42,75,50
2026-04-29,5,83,79,8,95,48,74,91,27,55,6,2,9,56,42,59,99,86
2026-05-06,5,19,19,90,9,1,84,49,54,43,56,4,32,3,6,35,18,94
2026-05-13,4,97,9,83,48,97,91,72,31,34,6,13,35,45,91,41,20,35
2026-05-20,58,36,29,96,1,45,40,67,53,59,6,48,65,81,29,62,93,94
2026-05-27,40,69,20,24,76,1,94,98,55,70,65,38,8,44,63,44,5,94
2026-06-03,81,10,38,52,36,34,26,70,55,18,62,76,48,25,97,39,54,48
2026-06-10,57,31,44,80,54,79,32,58,12,4,77,30,82,35,11,8,0,63
2026-06-17,36,58,64,64,86,40,29,70,95,62,33,77,46,62,63,17,44,60
2026-06-24,7,96,65,13,85,39,31,48,75,53,80,62,3,22,83,66,18,57
2026-07-01,3,58,83,26,34,73,84,56,29,28,72,95,78,91,28,54,45,40
2026-07-08,63,14,61,1,33,45,96,61,52,10,95,13,59,15,27,35,79,68
