date,special,prize1,prize2,prize3_1,prize3_2,prize4_1,prize4_2,prize4_3,prize4_4,prize4_5,prize4_6,prize4_7,prize5,prize6_1,prize6_2,prize6_3,prize7,prize8
2026-07-05,66,59,35,61,6,71,33,54,38,32,50,74,24,74,2,6,70,52
2026-07-12,38,36,16,23,36,80,83,21,81,6,17,32,21,34,17,5,79,65
2025-07-13,12,86,92,27,16,7,24,37,68,16,81,9,24,71,20,30,56,73
2025-07-20,77,33,27,47,62,4,93,71,24,66,48,69,11,24,36,68,30,42
2025-07-27,82,5,57,58,80,33,77,37,21,77,56,69,40,95,1,49,99,30
2025-08-03,0,30,23,24,91,32,88,31,50,8,6,87,33,43,34,41,64,31
2025-08-10,37,92,73,48,98,30,38,41,6,45,41,87,46,72,12,61,56,65
2025-08-17,67,62,39,98,39,87,70,16,98,22,81,31,28,94,16,44,58,82
2025-08-24,38,48,2,65,71,95,58,16,72,96,17,48,92,88,84,34,60,2
2025-08-31,51,31,78,11,49,41,2,70,19,50,60,25,27,83,88,2,41,5
2025-09-07,99,91,33,80,15,44,52,37,36,56,76,19,11,55,20,24,59,75
2025-09-14,3,59,76,94,47,6,53,99,46,52,44,87,29,17,59,22,17,30
2025-09-21,51,0,96,13,23,65,7,18,33,55,84,31,75,96,40,62,47,95
2025-09-28,40,25,97,61,82,9,20,79,31,14,81,17,69,81,0,27,93,19
2025-10-05,55,2,38,59,45,44,93,73,87,73,16,13,79,10,91,42,73,43
2025-10-12,51,12,25,1,58,17,86,48,39,84,94,43,11,13,83,94,44,65
2025-10-19,27,53,31,27,4,69,13,82,29,58,55,13,25,57,70,40,28,48
2025-10-26,80,37,7,19,73,42,49,36,54,43,28,90,61,13,68,80,43,33
2025-11-02,24,45,41,40,59,96,33,10,12,30,38,70,47,64,26,57,12,41
2025-11-09,26,48,54,76,42,90,49,55,97,14,40,52,78,54,91,18,86,86
2025-11-16,27,78,68,32,11,1,68,87,30,34,77,67,33,9,53,63,22,9
2025-11-23,73,45,49,19,71,11,19,94,97,1,1,85,99,65,35,30,59,3
2025-11-30,77,93,37,25,98,16,5,74,57,51,11,89,23,67,4,34,31,12
2025-12-07,18,56,5,28,50,80,19,33,57,87,92,27,63,16,21,18,40,12
2025-12-14,84,60,33,66,76,37,23,92,13,17,39,90,68,3,66,69,65,75
2025-12-21,85,95,63,67,39,59,27,56,63,97,79,69,86,97,79,17,78,41
2025-12-28,99,83,72,1,25,52,53,84,7,0,56,20,85,78,86,79,92,34
2026-01-04,71,54,41,84,66,8,39,71,90,52,0,65,16,43,15,17,9,7
2026-01-11,54,55,32,66,90,3,78,45,43,32,65,24,15,16,48,5,75,59
2026-01-18,31,18,75,27,40,80,14,28,36,60,53,66,72,66,81,15,31,23
2026-01-25,27,81,78,32,9,54,23,52,48,9,65,17,42,68,40,11,77,2
2026-02-01,29,76,67,16,18,34,24,8,97,83,7,11,67,96,47,75,92,17
2026-02-08,12,71,15,14,42,28,15,70,92,31,17,55,97,56,78,81,49,33
2026-02-15,56,16,1,86,28,28,19,32,94,24,6,24,28,99,45,42,1,54
2026-02-22,74,61,42,23,76,63,63,55,99,28,52,63,88,42,91,63,81,90
2026-03-01,27,14,38,96,93,58,15,14,79,74,14,10,73,75,77,24,15,2
2026-03-08,74,42,85,7,11,53,38,19,62,49,29,87,48,0,82,56,4,46
2026-03-15,36,46,9,40,27,6,37,98,56,43,86,46,92,15,0,62,7,92
2026-03-22,79,90,28,90,65,93,67,63,18,40,7,88,36,44,19,75,22,48
2026-03-29,34,28,36,14,11,3,77,4,28,17,9,88,4,91,39,29,66,18
2026-04-05,84,91,56,97,3,14,44,64,78,22,31,14,6,27,46,94,81,21
2026-04-12,73,24,57,80,12,11,52,5,56,8,8,75,54,40,78,29,47,19
2026-04-19,65,44,37,5,53,13,51,82,80,70,81,27,69,35,71,15,8,61
2026-04-26,47,5,52,34,50,10,87,38,44,53,87,99,28,8,87,30,32,81
2026-05-03,3,26,37,38,66,51,38,75,79,78,78,50,3,73,56,66,88,56
2026-05-10,2,29,16,84,47,8,86,18,89,73,90,50,0,66,33,74,43,86
2026-05-17,62,53,0,22,51,50,76,40,19,43,24,38,23,97,86,8,49,10
2026-05-24,38,68,26,76,98,84,75,12,72,40,47,23,21,47,70,76,41,43
2026-05-31,50,4,7,44,17,85,10,0,52,63,97,74,20,63,57,12,69,11
2026-06-07,29,56,5,12,62,14,93,73,39,13,83,44,89,50,34,21,44,68
2026-06-14,90,49,26,83,13,90,36,2,19,94,51,16,28,14,46,41,64,72
2026-06-21,11,16,12,52,67,5,84,65,39,59,35,75,57,96,59,35,24,10
2026-06-28,43,24,65,46,89,70,59,52,23,74,65,45,76,44,26,75,17,16
