date,station,station_code,special,prize1,prize2,prize3_1,prize3_2,prize4_1,prize4_2,prize4_3,prize4_4,prize4_5,prize4_6,prize4_7,prize5,prize6_1,prize6_2,prize6_3,prize7,prize8
2026-07-05,Đà Lạt,XSDL - ĐL7K1,522666,14259,47535,48961,86106,33371,69533,96954,44838,75132,23250,5174,5024,4574,1502,5906,70,52
2026-07-12,Đà Lạt,XSDL - ĐL7K2,579838,48236,61616,70723,6136,3080,83183,25421,53881,20906,63817,19432,7721,4134,8317,1305,579,65
2025-07-13,Đà Lạt,XSDL - ĐL7K2,310912,13286,22692,90427,8116,48107,59924,93137,44368,84016,12881,5909,9424,4071,2620,7830,656,73
2025-07-20,Đà Lạt,XSDL - ĐL7K3,273777,58733,56127,51347,73562,5604,96993,14771,91824,94166,61248,91269,3911,7524,8136,5368,930,42
2025-07-27,Đà Lạt,XSDL - ĐL7K4,160382,26005,40657,66058,50580,46733,97877,24237,19721,46377,93156,97769,2440,8195,701,4849,899,30
2025-08-03,Đà Lạt,XSDL - ĐL8K1,833300,30130,8723,35924,75991,75232,15888,2231,24550,44508,99006,31187,9133,9143,4734,8741,964,31
2025-08-10,Đà Lạt,XSDL - ĐL8K2,681437,73692,32273,47748,1998,89430,38038,98141,19606,70645,86141,45687,9646,272,7312,1861,856,65
2025-08-17,Đà Lạt,XSDL - ĐL8K3,270067,35662,55039,73598,28839,1287,65270,88616,9298,86622,75881,77331,2528,4594,6116,6044,558,82
2025-08-24,Đà Lạt,XSDL - ĐL8K4,380438,65348,11002,10365,19171,98895,57758,76016,31572,19796,22217,10548,5492,1488,9684,1234,860,2
2025-08-31,Đà Lạt,XSDL - ĐL8K5,954351,78831,42278,92511,51649,3041,39602,57970,82619,23150,3160,71425,7627,8483,2588,9302,941,5
2025-09-07,Đà Lạt,XSDL - ĐL9K1,61699,10291,33833,99580,3215,9944,71452,96937,33436,28256,32576,92619,9311,255,6520,8624,459,75
2025-09-14,Đà Lạt,XSDL - ĐL9K2,274803,40659,34476,99694,51347,55106,23053,82799,38846,20952,31944,88587,129,817,7659,6722,117,30
2025-09-21,Đà Lạt,XSDL - ĐL9K3,447651,2100,83196,86413,63723,18465,55807,98218,1633,85555,58084,18131,8275,6696,4440,162,147,95
2025-09-28,Đà Lạt,XSDL - ĐL9K4,958740,35725,94897,53461,382,73609,15820,56279,77031,20514,85781,82817,7669,281,1300,4227,593,19
2025-10-05,Đà Lạt,XSDL - ĐL10K1,145555,39002,94238,43759,53045,80944,75993,7773,43387,26773,49916,36313,3879,8110,6491,9342,973,43
2025-10-12,Đà Lạt,XSDL - ĐL10K2,615051,68512,68725,81501,92758,35517,70286,76748,25739,74984,68194,19343,3911,5413,5483,94,244,65
2025-10-19,Đà Lạt,XSDL - ĐL10K3,566527,96853,87031,6927,61604,27269,29213,51982,41629,53758,52755,38513,4125,9357,5670,5940,628,48
2025-10-26,Đà Lạt,XSDL - ĐL10K4,355080,1337,62307,91919,26373,35442,75049,78436,1354,26943,12928,53790,1961,8213,5668,7280,843,33
2025-11-02,Đà Lạt,XSDL - ĐL11K1,685624,59645,57241,16340,64059,37096,64733,68210,92212,41230,80738,79770,9847,3764,4326,6857,612,41
2025-11-09,Đà Lạt,XSDL - ĐL11K2,872426,13648,54,23876,64242,53490,38849,16755,22697,91014,18740,66252,2878,3854,2891,1418,786,86
2025-11-16,Đà Lạt,XSDL - ĐL11K3,401727,2078,35668,3032,11011,4701,80868,89087,42230,52034,16377,40867,6033,9109,453,963,922,9
2025-11-23,Đà Lạt,XSDL - ĐL11K4,346573,80845,34749,10819,71771,98411,3919,6294,77797,87901,14801,47285,7099,165,935,4730,559,3
2025-11-30,Đà Lạt,XSDL - ĐL11K5,573077,87993,81137,61025,97098,10616,46905,81174,16857,47751,3911,32089,3123,267,4804,3534,531,12
2025-12-07,Đà Lạt,XSDL - ĐL12K1,686518,67856,66305,75528,66750,73780,27519,2833,74257,96787,52492,93327,2063,4516,9321,618,940,12
2025-12-14,Đà Lạt,XSDL - ĐL12K2,196484,48260,24333,34166,6976,97037,30323,68192,46913,74517,57639,12890,9268,1603,1366,4069,65,75
2025-12-21,Đà Lạt,XSDL - ĐL12K3,98985,45295,9763,79067,75339,23759,21327,89656,69863,87597,59479,75669,2186,997,4579,8217,78,41
2025-12-28,Đà Lạt,XSDL - ĐL12K4,858099,33483,77472,18701,52425,60252,82053,9384,37707,14300,86056,29720,1285,8978,3686,1179,492,34
2026-01-04,Đà Lạt,XSDL - ĐL1K1,209071,67054,28641,64384,10466,73408,92339,53571,81190,69852,63000,18265,9616,3543,2115,8117,909,7
2026-01-11,Đà Lạt,XSDL - ĐL1K2,757054,97755,72232,91866,92590,23003,43778,83045,26443,9732,71565,26024,2515,9116,248,3305,475,59
2026-01-18,Đà Lạt,XSDL - ĐL1K3,796131,26018,40775,47827,85640,58780,77214,5228,34636,32960,93253,57666,4672,8466,3881,4915,931,23
2026-01-25,Đà Lạt,XSDL - ĐL1K4,545527,31381,73478,14532,89609,63554,8923,70952,13448,39809,54965,25717,7942,9768,940,6711,677,2
2026-02-01,Đà Lạt,XSDL - ĐL2K1,399829,1076,75667,30916,2818,34234,6924,86108,72897,99883,15007,69211,967,9996,1547,3575,92,17
2026-02-08,Đà Lạt,XSDL - ĐL2K2,313412,90571,85015,43014,63142,33328,12515,39070,62092,39331,55117,39055,9597,5956,9778,181,949,33
2026-02-15,Đà Lạt,XSDL - ĐL2K3,388356,64016,65401,15186,67228,58428,94319,73332,54194,78124,92406,3924,8528,9199,9945,8242,301,54
2026-02-22,Đà Lạt,XSDL - ĐL2K4,442074,69661,73342,17723,24376,44363,11463,8655,66499,34428,66352,79763,2588,3642,6291,1363,181,90
2026-03-01,Đà Lạt,XSDL - ĐL3K1,578627,62714,20838,24096,14693,57758,16015,92514,98779,64474,25414,18310,3273,875,6477,2824,315,2
2026-03-08,Đà Lạt,XSDL - ĐL3K2,717274,1142,1085,82007,87011,54553,65438,96019,54562,49349,26429,62387,4748,3700,4782,3956,604,46
2026-03-15,Đà Lạt,XSDL - ĐL3K3,327936,86546,66309,90340,11227,54906,33437,59198,95556,81443,86186,51646,1992,2115,100,2662,107,92
2026-03-22,Đà Lạt,XSDL - ĐL3K4,663779,14690,85128,75390,50065,42793,66067,23963,15318,39340,96707,33888,1036,7644,8419,7175,422,48
2026-03-29,Đà Lạt,XSDL - ĐL3K5,992334,3328,14436,93614,98111,49203,60677,37404,21428,29817,6409,81088,104,2591,4139,2229,66,18
2026-04-05,Đà Lạt,XSDL - ĐL4K1,578584,6191,64056,73997,38103,51314,50044,95664,29578,29222,81931,88714,9406,7427,9946,5094,981,21
2026-04-12,Đà Lạt,XSDL - ĐL4K2,232073,14124,27357,74780,2212,6411,2552,26005,24556,34208,50308,89375,1154,3640,8178,3529,847,19
2026-04-19,Đà Lạt,XSDL - ĐL4K3,751465,11144,69037,55805,28953,43213,86251,80682,7980,39370,46881,59227,9669,6335,4971,5815,708,61
2026-04-26,Đà Lạt,XSDL - ĐL4K4,212947,205,70052,67834,42550,93710,70087,88838,56244,57753,4087,76299,6728,5008,7887,4630,32,81
2026-05-03,Đà Lạt,XSDL - ĐL5K1,193203,71526,64637,58938,25566,8651,57738,45375,79879,60378,34678,65350,8403,1073,9156,7366,588,56
2026-05-10,Đà Lạt,XSDL - ĐL5K2,566502,42829,31516,49484,73147,64508,97086,35218,65389,18073,26990,11350,3400,1666,533,2774,743,86
2026-05-17,Đà Lạt,XSDL - ĐL5K3,443862,72853,64900,90022,41451,31950,7376,83740,59419,40143,41524,48838,3623,8297,1486,8,949,10
2026-05-24,Đà Lạt,XSDL - ĐL5K4,949438,668,27526,41076,90398,50884,14775,36112,88872,7840,96647,54123,4421,8947,5670,676,941,43
2026-05-31,Đà Lạt,XSDL - ĐL5K5,80550,47204,49107,80444,70417,2585,16910,43100,11052,51763,13097,25474,6220,3563,1157,7412,869,11
2026-06-07,Đà Lạt,XSDL - ĐL6K1,753429,23556,68605,72512,47262,88214,46693,34873,24739,54013,93083,17544,6089,4250,6134,5821,944,68
2026-06-14,Đà Lạt,XSDL - ĐL6K2,621690,13749,46326,2583,42313,88290,7836,40002,95619,794,40451,35916,1128,1914,4646,5741,164,72
2026-06-21,Đà Lạt,XSDL - ĐL6K3,911911,29616,87012,61552,22567,40305,2284,1365,82339,67559,86235,17875,9357,5596,459,8035,324,10
2026-06-28,Đà Lạt,XSDL - ĐL6K4,635343,49624,88765,30446,52689,58770,14459,90452,29223,5074,60465,945,9976,7944,26,1675,17,16
