date,special,prize1,prize2,prize3_1,prize3_2,prize4_1,prize4_2,prize4_3,prize4_4,prize4_5,prize4_6,prize4_7,prize5,prize6_1,prize6_2,prize6_3,prize7,prize8
2025-07-16,42,77,60,3,33,98,59,62,96,52,80,53,15,44,59,24,10,16
2025-07-23,56,59,83,0,39,59,78,82,53,75,50,52,28,56,54,20,84,25
2025-07-30,61,86,23,74,64,0,71,3,84,2,98,94,69,95,71,47,14,45
2025-08-06,53,29,77,10,53,60,42,67,76,5,88,0,69,39,59,46,4,90
2025-08-13,49,26,90,79,89,51,64,67,38,28,16,61,49,38,62,88,69,22
2025-08-20,5,93,81,35,88,7,73,47,33,49,98,19,28,45,18,36,49,71
2025-08-27,78,44,33,50,99,46,33,77,66,61,73,16,27,43,29,47,40,83
2025-09-03,88,49,38,59,12,50,70,8,47,61,92,21,95,81,62,13,23,29
2025-09-10,7,4,97,67,69,12,41,68,67,53,72,1,29,56,54,46,75,27
2025-09-17,57,93,54,84,63,39,43,83,97,23,21,88,53,14,21,26,13,82
2025-09-24,11,77,92,41,64,1,73,49,29,23,61,93,3,77,44,78,67,34
2025-10-01,96,80,34,79,82,8,77,91,57,79,7,92,36,95,26,61,53,94
2025-10-08,84,50,39,79,43,31,17,27,67,66,64,98,93,94,42,82,61,97
2025-10-15,89,65,14,0,90,40,10,65,98,11,96,17,55,84,11,60,23,55
2025-10-22,74,68,36,82,14,55,85,79,66,47,60,85,8,74,90,88,23,85
2025-10-29,38,65,23,69,65,63,57,8,1,72,61,40,86,69,56,40,60,18
2025-11-05,59,80,76,74,56,44,71,22,24,48,79,61,65,87,69,89,61,6
2025-11-12,49,59,91,89,22,41,82,71,78,83,54,2,46,19,73,10,67,52
2025-11-19,67,32,36,53,23,17,33,88,73,27,52,80,74,70,54,71,2,53
2025-11-26,18,37,24,28,8,48,66,82,54,48,68,2,4,7,11,85,92,70
2025-12-03,94,73,89,85,90,12,11,72,88,33,15,55,45,17,8,43,19,23
2025-12-10,68,56,43,38,54,97,33,27,46,88,33,92,9,68,63,33,53,87
2025-12-17,82,45,13,59,46,4,67,98,76,10,16,82,88,38,25,92,85,90
2025-12-24,27,38,79,99,0,4,74,10,49,6,55,1,9,19,83,53,52,83
2025-12-31,81,57,80,62,28,61,82,36,44,31,76,29,97,20,8,88,19,15
2026-01-07,29,91,21,17,40,90,71,77,51,4,70,53,85,9,31,66,91,40
2026-01-14,71,43,89,79,27,85,87,85,83,97,56,99,59,33,89,11,19,58
2026-01-21,94,99,3,83,88,0,74,71,69,27,43,77,53,48,38,11,2,79
2026-01-28,57,17,73,90,62,96,66,36,84,58,47,88,77,64,50,76,57,43
2026-02-04,38,38,44,2,82,57,94,76,68,64,42,44,20,21,48,22,82,21
2026-02-11,32,95,32,76,84,36,66,61,2,81,91,32,62,62,61,2,64,79
2026-02-18,83,14,77,71,46,69,18,45,0,55,29,80,6,27,4,25,18,48
2026-02-25,31,94,24,45,33,96,53,68,39,42,41,70,52,48,59,23,29,30
2026-03-04,86,65,22,7,33,33,49,98,12,83,73,58,97,16,61,7,24,35
2026-03-11,25,77,25,74,37,69,44,47,6,33,97,64,88,69,92,35,72,23
2026-03-18,0,57,17,81,22,35,60,25,30,34,56,13,63,48,55,72,57,51
2026-03-25,6,22,70,15,62,64,84,83,98,69,79,71,45,73,30,16,92,82
2026-04-01,42,8,34,77,9,33,70,13,75,76,6,26,72,38,50,87,36,62
2026-04-08,4,97,64,3,79,31,8,92,66,10,89,26,67,33,52,89,70,13
2026-04-15,76,69,43,18,18,95,79,59,74,74,55,37,7,92,64,76,80,68
2026-04-22,63,0,19,12,31,1,83,24,90,35,3,50,38,13,68,82,19,12
2026-04-29,91,64,77,19,17,87,19,48,88,84,91,75,26,35,58,66,25,75
2026-05-06,11,4,44,36,11,61,37,15,13,41,57,89,24,82,73,24,9,15
2026-05-13,15,56,47,34,32,40,85,72,34,90,4,2,91,40,32,95,90,81
2026-05-20,97,93,15,45,16,85,36,12,13,93,40,84,9,17,27,92,23,61
2026-05-27,9,87,71,84,25,68,90,7,2,4,39,4,83,73,0,36,58,94
2026-06-03,86,71,95,25,61,34,21,71,86,30,3,37,12,51,8,44,53,40
2026-06-10,92,98,21,93,9,94,63,54,45,55,49,12,16,31,65,46,13,33
2026-06-17,0,50,26,18,70,48,70,9,28,65,81,87,65,59,53,64,99,24
2026-06-24,14,37,87,6,80,70,0,93,59,71,81,12,17,84,10,0,83,61
2026-07-01,46,25,94,29,10,29,44,99,35,96,88,83,43,77,45,38,34,61
2026-07-08,48,51,13,25,90,89,93,63,84,10,93,99,2,37,11,88,11,48
