date,station,station_code,special,prize1,prize2,prize3_1,prize3_2,prize4_1,prize4_2,prize4_3,prize4_4,prize4_5,prize4_6,prize4_7,prize5,prize6_1,prize6_2,prize6_3,prize7,prize8
2025-07-16,Đồng Nai,XSDN - 7K3,944842,6477,40960,33503,55633,21298,31759,3962,83496,53252,39980,67553,7015,7544,4859,3724,510,16
2025-07-23,Đồng Nai,XSDN - 7K4,680956,83659,24283,81500,62639,18959,68578,94982,62353,4975,55950,98252,5428,2556,1954,5620,884,25
2025-07-30,Đồng Nai,XSDN - 7K5,84361,48486,73323,56574,69364,46100,92371,37203,78684,43402,30898,61194,9769,7595,3371,7747,714,45
2025-08-06,Đồng Nai,XSDN - 8K1,419753,97529,82377,65710,6953,51360,82642,35367,38676,74605,7288,36300,7969,3039,9559,4546,404,90
2025-08-13,Đồng Nai,XSDN - 8K2,365549,66726,16390,16079,58289,70451,6364,31667,71438,1028,5416,64961,3449,538,662,4088,369,22
2025-08-20,Đồng Nai,XSDN - 8K3,960005,79093,85881,32135,1988,85407,73473,4547,9833,64649,25098,90019,3128,3645,8818,4236,849,71
2025-08-27,Đồng Nai,XSDN - 8K4,394778,60744,59733,70650,2199,26146,20233,17177,62566,57061,65473,3716,6027,8143,9629,5247,740,83
2025-09-03,Đồng Nai,XSDN - 9K1,674288,54049,23538,27559,21912,44950,72070,64108,53747,87761,90092,87121,6695,3681,9762,8513,523,29
2025-09-10,Đồng Nai,XSDN - 9K2,53907,51504,15497,65767,27769,14612,20141,2268,4467,53853,18072,74401,4429,6356,5654,5646,275,27
2025-09-17,Đồng Nai,XSDN - 9K3,851557,57993,68954,15984,35563,51539,24343,4883,33397,32023,77321,49888,4353,5914,1421,4526,113,82
2025-09-24,Đồng Nai,XSDN - 9K4,55911,7977,54192,18741,46864,90301,85673,81149,15929,43523,75161,29693,703,7777,1244,578,567,34
2025-10-01,Đồng Nai,XSDN - 10K1,79896,76980,76534,60779,11682,27108,46077,35191,36157,68679,43807,69792,1036,9795,7326,3461,353,94
2025-10-08,Đồng Nai,XSDN - 10K2,362384,27650,67139,2879,46143,22031,92017,38627,64467,95366,98264,90798,7893,7494,4642,2782,61,97
2025-10-15,Đồng Nai,XSDN - 10K3,11089,82065,78414,85600,70890,95140,59210,38365,13498,4211,15296,55917,5155,84,3911,7160,723,55
2025-10-22,Đồng Nai,XSDN - 10K4,221174,93768,96836,64882,14114,90655,68185,71079,2666,69247,90260,19285,4208,5474,5290,688,523,85
2025-10-29,Đồng Nai,XSDN - 10K5,630038,53665,27823,76069,26565,96063,10557,40008,49401,53672,7061,65540,1486,3969,5356,1840,260,18
2025-11-05,Đồng Nai,XSDN - 11K1,767459,22080,88976,20474,86456,92644,98871,76122,57724,71748,4279,11961,8865,9487,5769,1389,961,6
2025-11-12,Đồng Nai,XSDN - 11K2,119349,51959,39891,82789,6822,73541,64682,55871,76478,90383,17354,11202,246,3719,3173,10,367,52
2025-11-19,Đồng Nai,XSDN - 11K3,300167,14332,3936,69553,31723,97617,54133,96888,41173,98427,32652,5180,1874,8170,4154,9871,502,53
2025-11-26,Đồng Nai,XSDN - 11K4,625018,45737,99924,92028,21808,1948,13566,42182,35554,8748,11868,91402,5604,7707,6711,7785,392,70
2025-12-03,Đồng Nai,XSDN - 12K1,793394,53973,58689,31785,42090,89812,2711,91772,72388,43133,84415,98855,3545,8117,9808,7743,619,23
2025-12-10,Đồng Nai,XSDN - 12K2,48568,69756,22643,27638,35654,96397,5333,84227,29346,77088,39933,58592,4409,868,263,8233,353,87
2025-12-17,Đồng Nai,XSDN - 12K3,678482,20045,48413,81759,46746,91804,47867,76598,21576,48610,66816,38382,7288,4238,4325,2592,85,90
2025-12-24,Đồng Nai,XSDN - 12K4,689327,54438,34279,2599,18100,34004,24974,29710,97949,35206,84755,14601,1209,4419,5583,6853,952,83
2025-12-31,Đồng Nai,XSDN - 12K5,681981,1357,7480,58462,81728,51261,83782,1736,34044,76531,58876,76029,5597,3320,3808,1288,119,15
2026-01-07,Đồng Nai,XSDN - 1K1,329529,65191,58121,91117,94540,9890,48871,98177,49451,30304,55970,51053,2585,509,9531,8966,391,40
2026-01-14,Đồng Nai,XSDN - 1K2,440871,68343,12289,33879,49927,24585,58787,20685,87083,84897,99256,90499,3559,2733,4889,6711,219,58
2026-01-21,Đồng Nai,XSDN - 1K3,497994,21999,57603,13583,27888,6700,45274,6571,56669,86927,33043,17077,3653,9048,4938,9811,902,79
2026-01-28,Đồng Nai,XSDN - 1K4,283857,31917,30973,56890,6162,97996,22366,43836,91584,15958,13247,25488,7677,2764,6450,3176,657,43
2026-02-04,Đồng Nai,XSDN - 2K1,636838,39138,28044,6802,89882,35957,50694,31376,75268,75364,98142,10844,5920,4721,8548,9822,282,21
2026-02-11,Đồng Nai,XSDN - 2K2,720732,81595,53832,35676,63484,61936,48066,77261,27102,64881,55791,96132,262,2162,1661,4402,764,79
2026-02-18,Đồng Nai,XSDN - 2K3,149483,96614,25777,91471,82346,34569,12518,16145,56900,35655,45329,92080,4806,9827,8104,1025,518,48
2026-02-25,Đồng Nai,XSDN - 2K4,222731,58994,57724,48945,3233,51196,553,43768,47439,36942,29641,56070,3252,748,1359,3123,929,30
2026-03-04,Đồng Nai,XSDN - 3K1,972486,32065,70222,38007,22633,88133,6249,18398,55612,59483,65773,30558,697,3216,161,7007,324,35
2026-03-11,Đồng Nai,XSDN - 3K2,152825,64377,19425,70674,55637,57469,98944,26947,3006,25833,54997,10664,388,6669,3892,8335,372,23
2026-03-18,Đồng Nai,XSDN - 3K3,749600,14457,23117,32981,86322,24635,94660,86525,76430,86734,31356,33313,5763,2348,9555,9372,457,51
2026-03-25,Đồng Nai,XSDN - 3K4,289206,19022,59470,71015,90862,18964,53584,16583,84298,2869,95579,43471,3445,3473,9130,8416,892,82
2026-04-01,Đồng Nai,XSDN - 4K1,171742,13408,22934,25577,91309,53933,68670,38413,23075,49376,74506,2926,4872,2538,5750,887,236,62
2026-04-08,Đồng Nai,XSDN - 4K2,479004,68997,69464,83303,78179,87131,81108,8792,88766,76410,74289,53826,3167,8933,9652,8589,370,13
2026-04-15,Đồng Nai,XSDN - 4K3,813676,50469,42443,82918,58618,7095,32979,21059,77274,96774,97255,66037,7307,6492,4564,1176,80,68
2026-04-22,Đồng Nai,XSDN - 4K4,324163,27500,60119,25912,49031,601,13683,68924,19490,72035,50903,42750,7138,413,2568,7282,319,12
2026-04-29,Đồng Nai,XSDN - 4K5,537291,35564,24477,93219,96817,987,39319,77648,80988,81484,83891,38375,826,9635,4958,5266,425,75
2026-05-06,Đồng Nai,XSDN - 5K1,934311,14504,46544,84936,93311,65061,73837,87115,14013,48041,87357,4789,8824,6682,6073,8124,9,15
2026-05-13,Đồng Nai,XSDN - 5K2,77915,656,44747,40834,25332,51240,50385,20672,5034,85590,25704,72202,1691,2240,9632,2295,890,81
2026-05-20,Đồng Nai,XSDN - 5K3,325697,48593,63015,59345,21416,98885,31136,35112,96813,32093,79940,19384,8909,1317,8027,7392,223,61
2026-05-27,Đồng Nai,XSDN - 5K4,738909,36587,95371,8584,73825,36468,42690,59907,79002,16104,4139,49404,383,3673,7600,2736,658,94
2026-06-03,Đồng Nai,XSDN - 6K1,644186,65371,87795,5225,66061,23634,90421,31971,71186,40430,19303,75637,8312,6251,2908,5544,753,40
2026-06-10,Đồng Nai,XSDN - 6K2,910292,7798,31521,40693,98509,36794,11163,44054,25445,36655,86549,99012,3716,6331,365,7746,613,33
2026-06-17,Đồng Nai,XSDN - 6K3,884900,90950,98326,56818,17770,97848,19970,75409,47228,72765,3381,66287,165,759,9753,4064,499,24
2026-06-24,Đồng Nai,XSDN - 6K4,162714,67937,93287,61806,85880,82370,33300,94093,80059,94271,75481,85112,2617,2184,5510,6000,383,61
2026-07-01,Đồng Nai,XSDN - 7K1,986546,36325,40194,73329,87510,70929,80044,23699,2035,75696,85688,32183,9243,8877,8045,1138,934,61
2026-07-08,Đồng Nai,XSDN - 7K2,61248,40651,53913,92425,62190,48289,10993,90963,35884,10410,97093,32999,3402,5837,9611,4288,811,48
