date,special,prize1,prize2,prize3_1,prize3_2,prize4_1,prize4_2,prize4_3,prize4_4,prize4_5,prize4_6,prize4_7,prize5,prize6_1,prize6_2,prize6_3,prize7,prize8
2025-07-14,74,7,43,88,76,1,27,58,58,16,78,8,16,60,31,79,74,3
2025-07-21,91,92,81,3,45,32,42,2,85,27,28,12,55,96,23,57,58,41
2025-07-28,10,64,90,46,89,18,28,24,99,69,8,68,14,47,1,27,13,33
2025-08-04,94,1,44,18,38,11,64,0,83,98,97,28,1,33,85,90,61,37
2025-08-11,82,26,43,35,0,74,17,29,3,62,22,75,79,92,26,99,62,53
2025-08-18,96,4,2,25,76,36,57,84,55,0,99,92,13,39,53,93,90,22
2025-08-25,64,99,9,70,36,88,29,16,31,36,55,68,43,28,70,98,76,75
2025-09-01,42,54,56,16,85,1,93,30,60,0,92,88,68,81,39,87,71,13
2025-09-08,60,68,60,46,49,62,84,32,65,33,60,73,86,21,22,75,38,9
2025-09-15,27,35,12,13,77,99,3,76,2,92,96,16,34,33,37,32,36,73
2025-09-22,76,73,56,58,83,74,68,50,41,66,15,33,40,5,76,11,90,48
2025-09-29,26,91,30,19,14,50,83,38,87,64,6,52,1,42,38,76,51,38
2025-10-06,15,38,35,7,3,74,64,73,62,37,26,38,23,41,32,78,13,92
2025-10-13,14,64,76,70,46,5,75,59,50,61,38,71,15,46,87,41,19,84
2025-10-20,26,74,14,50,28,81,60,37,14,2,95,40,72,79,51,57,65,74
2025-10-27,61,41,55,52,35,98,76,1,66,57,31,64,69,61,3,54,44,92
2025-11-03,91,84,92,28,21,81,20,38,24,70,74,12,69,1,1,27,40,24
2025-11-10,67,13,33,77,37,53,51,88,97,16,43,13,79,74,30,52,64,79
2025-11-17,92,74,24,77,2,82,46,43,21,4,92,8,8,58,56,85,17,5
2025-11-24,62,93,50,74,4,48,13,76,11,59,8,79,26,73,7,91,44,52
2025-12-01,37,46,24,38,95,52,65,23,32,95,7,45,4,80,97,9,12,35
2025-12-08,80,30,72,75,60,29,7,11,22,96,53,84,97,92,10,67,51,11
2025-12-15,8,82,80,50,46,51,69,80,98,91,30,29,99,23,56,16,8,83
2025-12-22,9,60,45,69,70,58,54,44,67,6,84,30,85,56,69,29,22,47
2025-12-29,13,99,12,73,12,44,48,34,90,11,84,89,54,83,39,26,18,1
2026-01-05,63,30,23,87,50,67,85,39,6,95,4,8,80,55,51,51,36,19
2026-01-12,84,50,81,40,7,56,87,83,10,33,77,42,90,79,86,41,99,35
2026-01-19,14,50,35,77,98,7,95,28,6,20,65,37,87,68,77,46,70,94
2026-01-26,6,38,70,92,13,4,52,76,21,0,96,92,90,62,67,5,43,57
2026-02-02,45,80,98,52,89,51,83,0,80,94,2,32,57,29,66,4,27,64
2026-02-09,30,64,10,48,15,2,32,10,91,93,50,62,45,41,86,97,66,74
2026-02-16,78,5,65,62,91,37,21,40,59,16,52,20,72,34,9,71,88,67
2026-02-23,68,65,80,99,37,7,88,58,71,55,71,58,92,52,68,96,61,89
2026-03-02,98,52,62,90,25,78,99,7,67,22,25,75,87,52,69,17,93,49
2026-03-09,89,24,0,43,51,45,57,82,77,94,29,21,81,24,43,20,22,93
2026-03-16,15,35,32,21,93,46,65,24,5,68,95,11,89,61,66,62,50,13
2026-03-23,48,49,74,39,95,39,21,53,58,81,88,11,26,89,12,39,36,95
2026-03-30,9,1,30,56,19,47,2,38,92,1,38,91,86,12,31,2,48,82
2026-04-06,76,11,52,17,24,0,54,7,0,85,6,8,88,79,93,1,58,46
2026-04-13,23,20,1,22,1,80,98,50,88,16,80,84,35,80,73,43,86,14
2026-04-20,22,39,3,68,23,90,8,65,8,95,60,99,78,84,2,27,82,18
2026-04-27,22,84,33,27,87,82,49,67,98,30,0,90,44,89,8,3,60,91
2026-05-04,85,25,14,19,10,52,28,14,72,13,1,20,53,90,46,24,23,4
2026-05-11,53,34,25,96,23,77,97,36,51,16,95,92,58,86,21,71,1,8
2026-05-18,9,50,94,49,77,61,46,9,81,58,74,32,67,14,66,86,96,48
2026-05-25,30,8,82,61,73,8,66,44,68,92,59,32,18,35,93,59,57,72
2026-06-01,19,80,67,18,91,5,19,1,34,30,40,34,15,28,30,85,44,48
2026-06-08,62,22,2,93,92,41,53,36,3,69,9,78,63,37,53,29,54,93
2026-06-15,18,79,58,22,86,72,62,19,46,13,14,3,3,76,9,74,81,98
2026-06-22,22,79,87,9,75,2,35,1,25,80,11,44,87,59,92,15,6,73
2026-06-29,45,59,41,20,93,88,68,6,80,29,75,45,20,68,10,72,30,71
2026-07-06,52,22,57,99,5,80,13,96,36,39,44,38,62,59,96,58,42,27
