date,station,station_code,special,prize1,prize2,prize3_1,prize3_2,prize4_1,prize4_2,prize4_3,prize4_4,prize4_5,prize4_6,prize4_7,prize5,prize6_1,prize6_2,prize6_3,prize7,prize8
2025-07-14,Đồng Tháp,XSDT - T28,18374,84107,97043,77788,42976,75801,81827,49258,69158,34116,9478,14708,3916,3560,3331,3179,874,3
2025-07-21,Đồng Tháp,XSDT - T29,117591,84292,98381,4803,77145,91232,67642,43402,83085,41427,16528,56912,8255,6696,5223,657,158,41
2025-07-28,Đồng Tháp,XSDT - T30,862710,12364,29990,91146,87089,518,97128,27624,89299,62769,22008,23368,6214,6847,9901,3527,713,33
2025-08-04,Đồng Tháp,XSDT - T31,415394,72001,47844,16318,38638,6911,78064,78200,5083,97698,26797,42028,5601,1233,185,7290,161,37
2025-08-11,Đồng Tháp,XSDT - T32,501282,95826,5243,7935,5300,86674,99817,72029,51203,22262,63922,68175,9379,9492,626,799,462,53
2025-08-18,Đồng Tháp,XSDT - T33,756396,10804,92602,27725,11976,4536,37657,5484,85255,90500,4099,78392,5713,9539,7853,5393,190,22
2025-08-25,Đồng Tháp,XSDT - T34,624464,81099,24409,99870,88336,91088,26329,10316,61631,65036,11655,99968,243,1828,4370,4398,576,75
2025-09-01,Đồng Tháp,XSDT - T35,971442,54354,56756,93316,68785,18901,80193,51230,97860,59000,55492,42288,4668,1881,9539,2487,571,13
2025-09-08,Đồng Tháp,XSDT - T36,209260,5568,2360,51846,22949,36062,45284,24532,18265,59133,27760,42473,4286,4621,2922,2175,638,9
2025-09-15,Đồng Tháp,XSDT - T37,958227,58235,51812,11113,29677,20299,69403,33976,68802,32092,6796,75616,2734,4033,7337,4432,836,73
2025-09-22,Đồng Tháp,XSDT - T38,767276,38273,35656,74058,81383,96874,168,87150,31541,68566,25415,66233,4440,8705,576,7611,190,48
2025-09-29,Đồng Tháp,XSDT - T39,570026,38491,90130,63719,27414,73750,48483,5338,72287,74164,86606,73252,3601,742,5038,5576,851,38
2025-10-06,Đồng Tháp,XSDT - T40,31115,52038,38435,86807,50903,75874,77564,6773,44162,41237,8626,36238,5523,6541,6332,478,613,92
2025-10-13,Đồng Tháp,XSDT - T41,748614,48764,87476,48170,41946,17605,48075,34159,16450,99161,76138,72971,1715,5946,6087,2941,119,84
2025-10-20,Đồng Tháp,XSDT - T42,454826,84774,93914,43650,19628,62981,92160,66837,49614,67402,52895,2040,2672,8879,951,3457,665,74
2025-10-27,Đồng Tháp,XSDT - T43,278861,23241,6755,12352,72835,1398,27476,95501,30066,10357,43231,52664,3369,4061,2003,2254,544,92
2025-11-03,Đồng Tháp,XSDT - T44,159591,27084,20092,89228,55821,65181,64720,45438,61624,15770,88874,70912,5969,701,2001,7627,740,24
2025-11-10,Đồng Tháp,XSDT - T45,643667,29113,8033,73177,51137,68253,7551,92488,54897,7416,78843,57313,4279,2174,5130,8752,364,79
2025-11-17,Đồng Tháp,XSDT - T46,318592,55674,98724,87477,74202,21182,7946,74543,91621,58504,92792,14608,4808,3558,8256,5985,817,5
2025-11-24,Đồng Tháp,XSDT - T47,566862,66193,65950,37474,6404,12848,813,69376,70511,1459,94308,4379,4326,8473,907,9291,44,52
2025-12-01,Đồng Tháp,XSDT - T48,569537,11846,44424,338,40595,61652,37065,46123,67132,36495,95607,47145,7404,3680,6897,8109,412,35
2025-12-08,Đồng Tháp,XSDT - T49,652680,70230,84172,21575,41760,22029,40207,66111,1822,1096,19553,33584,9897,3192,4110,1667,351,11
2025-12-15,Đồng Tháp,XSDT - T50,606708,47982,47280,68950,35746,83051,41469,66680,35498,75591,3430,65529,7599,9323,6756,7516,208,83
2025-12-22,Đồng Tháp,XSDT - T51,641409,88060,51445,29069,94370,45458,93354,67444,25467,8106,32284,41130,2085,8756,4269,2029,122,47
2025-12-29,Đồng Tháp,XSDT - T52,151213,53599,64912,29273,75912,75244,62248,94134,4890,86411,42084,63089,9054,4983,7939,2426,518,1
2026-01-05,Đồng Tháp,XSDT - V01,247563,23430,10523,1587,83250,30067,17785,19439,22106,60895,44504,17408,6380,4755,6251,8451,36,19
2026-01-12,Đồng Tháp,XSDT - V02,941284,63550,1781,32140,44707,14656,74787,80283,93410,29433,177,56442,5190,179,7086,9641,399,35
2026-01-19,Đồng Tháp,XSDT - V03,786514,11850,81835,81677,71298,61007,82295,85228,63206,15120,6665,9537,6387,6268,6577,9646,870,94
2026-01-26,Đồng Tháp,XSDT - V04,180906,55538,31070,49892,56013,6204,23952,49076,11721,93900,696,91792,7290,2462,9467,605,943,57
2026-02-02,Đồng Tháp,XSDT - V05,171345,70280,33198,2752,15589,4151,24783,55700,71080,95594,86302,51032,9257,429,6866,8004,727,64
