date,special,prize1,prize2,prize3_1,prize3_2,prize4_1,prize4_2,prize4_3,prize4_4,prize4_5,prize4_6,prize4_7,prize5,prize6_1,prize6_2,prize6_3,prize7,prize8
2026-07-11,64,45,38,53,25,35,46,7,4,10,0,2,40,32,49,53,79,2
2026-07-06,48,17,56,40,28,1,14,35,18,19,21,30,42,56,46,10,15,33
2025-07-12,42,97,72,72,28,52,66,86,89,44,66,6,19,75,8,7,31,29
2025-07-14,72,33,45,35,61,19,65,56,69,12,24,58,87,45,77,81,34,21
2025-07-19,53,23,82,75,42,65,13,29,90,95,48,58,0,20,23,2,25,61
2025-07-21,94,47,48,3,49,70,29,21,41,41,28,95,86,3,90,0,62,8
2025-07-26,53,48,64,54,86,45,19,26,96,23,17,8,81,17,35,18,10,27
2025-07-28,34,48,72,93,24,43,63,14,7,63,46,15,63,77,17,96,12,12
2025-08-02,38,52,64,42,39,58,18,63,77,19,0,67,33,35,54,91,72,38
2025-08-04,81,36,63,93,95,43,75,70,70,13,94,46,54,16,5,2,86,7
2025-08-09,49,29,50,78,77,58,23,77,90,71,38,41,35,82,6,54,68,49
2025-08-11,99,18,18,10,42,26,84,39,2,72,36,52,51,7,57,61,28,94
2025-08-16,31,32,51,92,77,43,77,56,48,76,72,59,61,99,32,38,44,30
2025-08-18,64,20,28,23,93,53,82,99,66,87,59,70,38,13,42,71,98,6
2025-08-23,33,39,52,42,11,78,92,61,7,66,83,16,21,94,78,89,52,57
2025-08-25,27,58,71,1,84,89,98,24,31,33,82,89,32,89,88,76,20,56
2025-08-30,48,82,5,59,58,81,23,91,50,47,50,54,63,65,73,92,81,63
2025-09-01,72,73,78,34,23,92,73,80,32,47,15,30,30,85,11,38,91,40
2025-09-06,72,21,72,9,64,40,76,14,99,50,36,98,94,98,88,67,12,37
2025-09-08,98,8,52,5,73,69,12,42,13,73,58,74,38,30,79,91,89,12
2025-09-13,36,28,74,64,91,35,73,71,53,41,80,94,22,52,93,28,32,78
2025-09-15,99,61,21,34,38,6,48,84,35,37,81,17,87,87,40,91,19,49
2025-09-20,88,86,59,85,1,53,55,84,19,14,20,37,61,95,19,11,53,7
2025-09-22,54,7,36,18,59,26,81,49,80,16,48,18,49,71,19,5,52,87
2025-09-27,4,16,99,57,6,19,81,45,83,38,33,80,46,35,90,16,65,79
2025-09-29,76,78,16,87,85,71,20,18,37,82,42,5,45,71,32,90,9,17
2025-10-04,38,94,36,29,67,75,30,95,43,78,45,93,23,23,0,5,80,92
2025-10-06,12,17,68,66,80,94,18,26,23,62,5,41,16,71,70,98,1,82
2025-10-11,16,69,26,69,25,94,27,37,47,98,17,44,25,62,50,54,0,72
2025-10-13,99,60,13,21,13,47,89,83,73,76,11,28,16,45,85,21,45,23
2025-10-18,67,11,36,33,54,44,76,7,1,32,73,65,84,93,85,67,51,49
2025-10-20,4,26,60,83,31,50,20,66,42,43,14,33,17,11,72,6,91,48
2025-10-25,55,16,42,63,10,62,87,86,93,88,99,13,17,4,43,23,67,34
2025-10-27,69,52,9,7,83,87,3,4,79,81,88,68,52,76,42,43,61,55
2025-11-01,32,68,53,21,29,33,79,36,98,73,46,70,12,47,82,76,50,48
2025-11-03,23,87,91,79,64,60,66,7,46,94,64,43,34,0,39,38,53,50
2025-11-08,90,6,82,84,83,88,42,36,79,35,28,42,6,57,80,82,67,18
2025-11-10,9,41,73,40,81,31,52,90,78,46,89,71,64,64,20,12,57,86
2025-11-15,50,84,42,48,20,0,29,93,72,69,64,40,2,87,16,69,4,37
2025-11-17,27,46,16,31,24,36,90,61,17,17,34,24,65,30,87,80,54,62
2025-11-22,51,18,29,35,85,39,28,94,36,90,17,47,13,34,25,93,41,48
2025-11-24,30,8,7,99,96,34,6,67,78,27,5,98,88,1,1,32,55,40
2025-11-29,18,46,46,96,45,38,43,55,57,26,85,36,36,33,22,44,37,62
2025-12-01,17,16,38,28,16,80,5,38,79,79,87,51,1,71,47,39,22,4
2025-12-06,44,27,5,22,52,61,88,89,42,52,64,85,74,23,46,37,55,79
2025-12-08,70,80,45,31,64,11,82,73,67,4,96,84,74,27,83,44,96,90
2025-12-13,38,62,42,91,62,14,5,28,32,34,23,46,8,93,95,44,27,52
2025-12-15,65,42,69,82,55,82,21,25,2,22,28,60,78,52,74,73,69,94
2025-12-20,35,41,76,36,90,69,17,7,46,89,85,18,81,51,85,95,14,85
2025-12-22,78,22,69,69,75,38,31,84,20,99,36,25,88,22,64,3,28,38
2025-12-27,80,20,67,46,96,93,24,27,13,20,85,5,73,62,46,52,34,12
2025-12-29,96,85,58,19,78,88,85,46,11,45,30,57,22,42,20,76,77,44
2026-01-03,43,99,59,99,10,29,93,82,80,69,15,14,49,78,90,97,38,26
2026-01-05,78,60,3,22,44,4,1,60,93,32,48,86,56,55,74,88,66,26
2026-01-10,87,62,95,50,99,71,69,78,97,55,35,61,6,13,15,52,59,87
2026-01-12,6,18,88,62,41,44,56,1,91,54,68,19,60,95,8,51,49,12
2026-01-17,16,25,84,34,51,85,80,83,28,4,32,44,77,5,78,48,82,62
2026-01-19,68,14,16,9,6,4,63,71,42,87,31,93,51,5,22,60,78,47
2026-01-24,94,45,35,82,56,76,62,85,97,60,42,15,44,20,15,55,96,52
2026-01-26,11,22,43,34,31,98,82,92,56,89,58,59,67,12,86,71,80,20
2026-01-31,5,67,90,80,60,60,63,74,26,92,20,2,45,92,50,6,99,8
2026-02-02,64,86,49,0,53,98,28,89,86,34,35,16,87,0,11,9,90,19
2026-02-07,71,20,4,12,13,12,54,79,9,21,4,43,62,42,56,22,76,60
2026-02-09,79,66,24,19,64,9,63,73,53,66,77,42,79,1,98,18,86,17
2026-02-14,31,32,15,23,7,56,77,5,56,49,69,47,30,65,70,76,42,1
2026-02-16,45,99,36,72,57,87,3,21,85,90,2,59,57,93,81,26,42,72
2026-02-21,89,38,66,47,6,32,37,11,72,18,71,32,59,43,54,66,81,36
2026-02-23,41,17,54,1,61,33,38,56,95,19,77,86,91,29,25,13,45,95
2026-02-28,20,54,24,5,87,81,24,58,35,37,5,65,71,87,39,77,7,56
2026-03-02,19,71,81,57,88,70,46,99,45,58,7,30,87,4,14,37,45,38
2026-03-07,34,63,35,99,26,91,28,52,70,5,41,89,2,89,92,82,78,27
2026-03-09,67,47,5,81,23,8,37,83,93,55,72,14,31,46,21,19,73,58
2026-03-14,52,24,86,80,92,97,0,37,65,12,25,52,67,48,27,34,63,91
2026-03-16,69,75,81,77,22,7,20,26,16,43,64,51,69,42,67,95,26,1
2026-03-21,30,24,41,99,61,11,2,24,69,24,69,61,36,12,3,72,83,12
2026-03-23,93,80,22,29,93,51,81,35,6,49,21,63,94,86,52,5,28,4
2026-03-28,79,38,98,24,16,14,8,51,93,3,72,7,58,41,11,32,40,61
2026-03-30,74,7,81,21,24,40,44,59,33,25,24,4,65,68,43,5,78,77
2026-04-04,91,50,51,37,61,33,31,75,87,94,14,2,16,55,25,18,69,0
2026-04-06,65,63,26,68,86,8,20,47,62,66,91,31,22,87,38,94,31,97
2026-04-11,28,69,80,31,72,47,3,14,4,6,22,3,44,9,86,3,61,94
2026-04-13,31,1,44,32,70,84,6,17,30,44,26,3,74,48,19,55,54,48
2026-04-18,56,11,65,71,94,47,67,93,14,69,45,65,56,58,84,52,84,76
2026-04-20,6,90,39,55,75,46,30,4,71,41,1,37,87,64,41,30,80,12
2026-04-25,65,78,64,80,83,93,27,71,4,81,2,94,6,93,7,65,12,52
2026-04-27,3,27,42,96,5,13,30,80,3,52,1,44,66,58,88,71,84,69
2026-05-02,79,83,54,59,94,9,66,73,68,63,27,40,50,56,25,89,73,33
