date,station,station_code,special,prize1,prize2,prize3_1,prize3_2,prize4_1,prize4_2,prize4_3,prize4_4,prize4_5,prize4_6,prize4_7,prize5,prize6_1,prize6_2,prize6_3,prize7,prize8
2026-07-11,TP. HCM,XSHCM - 7B7,333464,845,22438,41053,1925,15735,28046,79507,44304,12410,71600,24702,7040,7132,4249,3653,479,2
2026-07-06,TP. HCM,XSHCM - 7B2,831548,85817,30356,34240,48028,16001,51614,49335,99318,92519,1921,78130,5742,1256,5846,1210,15,33
2025-07-12,TP. HCM,XSHCM - 7B7,475742,40497,12572,66772,94828,56352,3766,36086,99989,94244,92366,69706,119,7575,4808,3107,731,29
2025-07-14,TP. HCM,XSHCM - 7C2,866372,93433,54045,30535,66161,17719,42065,95756,18369,4712,40224,42958,3987,845,3277,1781,234,21
2025-07-19,TP. HCM,XSHCM - 7C7,106753,27223,54682,25175,85442,8665,48713,23329,51590,41995,4948,96358,5200,6520,9923,9102,225,61
2025-07-21,TP. HCM,XSHCM - 7D2,888994,82047,91548,56603,38749,28570,28229,15721,65941,67741,61128,83395,86,3003,5490,9600,862,8
2025-07-26,TP. HCM,XSHCM - 7D7,962753,13948,83664,57554,86886,47945,41019,52726,10896,623,80317,13408,5581,817,735,3018,110,27
2025-07-28,TP. HCM,XSHCM - 7E2,629034,60248,91572,28193,15924,91943,1363,82314,22407,66763,38746,13615,4263,3477,8617,3396,12,12
2025-08-02,TP. HCM,XSHCM - 8A7,172738,79252,7664,89942,2439,61058,87818,1063,58977,82019,47500,65167,733,5735,1654,6691,672,38
2025-08-04,TP. HCM,XSHCM - 8B2,537881,53936,66463,50993,51695,75343,58375,34770,71970,55713,65694,18946,4454,2816,7805,7702,786,7
2025-08-09,TP. HCM,XSHCM - 8B7,78249,17329,7750,53378,14777,86958,83223,66677,95090,61271,91138,30741,1435,3382,7706,8854,668,49
2025-08-11,TP. HCM,XSHCM - 8C2,239999,18218,58818,34510,96342,48826,73784,61939,7102,6772,32036,23652,9351,9307,8657,7161,228,94
2025-08-16,TP. HCM,XSHCM - 8C7,771331,98832,99851,28692,95777,45443,81777,90256,29548,57276,172,44059,361,9499,2132,9738,44,30
2025-08-18,TP. HCM,XSHCM - 8D2,544764,65820,69628,82623,20593,72453,41282,36199,54266,22387,91059,68670,6238,5913,1642,4571,498,6
2025-08-23,TP. HCM,XSHCM - 8D7,556033,88839,53252,85442,12711,46778,29292,93361,61107,33066,43583,23716,9621,5194,4378,4089,452,57
