date,special,prize1,prize2,prize3_1,prize3_2,prize4_1,prize4_2,prize4_3,prize4_4,prize4_5,prize4_6,prize4_7,prize5,prize6_1,prize6_2,prize6_3,prize7,prize8
2025-07-12,40,61,44,10,8,42,44,72,42,19,51,13,74,83,44,96,4,36
2025-07-19,94,68,74,17,89,41,13,20,26,8,6,2,9,96,87,32,48,91
2025-07-26,17,52,36,33,39,94,63,29,19,91,6,47,60,27,28,86,63,74
2025-08-02,0,92,31,8,10,29,14,24,14,77,13,72,7,30,77,80,14,58
2025-08-09,77,10,66,41,20,76,7,32,54,12,62,22,61,84,97,79,93,37
2025-08-16,16,25,10,78,65,96,3,55,94,87,46,38,79,95,77,21,16,21
2025-08-23,54,7,11,84,88,45,17,91,85,10,1,14,44,49,33,76,26,87
2025-08-30,23,99,8,48,46,95,60,53,54,79,80,8,9,15,81,42,65,86
2025-09-06,84,98,3,1,10,72,5,54,30,98,61,30,33,5,9,77,4,50
2025-09-13,98,63,90,2,93,47,58,76,2,79,55,39,29,23,63,35,21,53
2025-09-20,62,95,99,53,90,50,79,25,11,79,76,28,59,27,7,90,20,54
2025-09-27,95,7,56,2,84,65,53,35,75,77,59,48,30,44,4,35,10,72
2025-10-04,35,5,18,78,66,13,40,3,92,29,68,77,55,70,99,51,7,48
2025-10-11,1,23,55,84,21,84,28,32,67,28,11,69,78,64,27,90,40,43
2025-10-18,77,2,82,89,50,24,13,43,32,41,83,39,37,8,23,9,32,41
2025-10-25,37,67,31,12,85,14,57,6,22,10,21,64,10,98,91,23,24,35
2025-11-01,31,12,60,55,41,5,71,33,82,31,60,66,40,99,39,55,89,39
2025-11-08,87,95,24,46,10,17,79,5,81,10,63,30,97,19,71,18,29,25
2025-11-15,2,5,17,51,61,66,92,57,60,91,95,84,87,18,70,72,60,8
2025-11-22,92,71,91,6,65,69,79,56,41,68,23,53,30,32,60,33,24,23
2025-11-29,56,68,9,28,73,17,15,72,73,4,80,69,33,50,45,35,51,49
2025-12-06,30,59,81,39,50,80,2,33,29,36,70,49,31,36,83,94,37,60
2025-12-13,59,15,13,9,60,26,89,81,33,62,18,28,46,46,12,26,58,87
2025-12-20,11,10,48,15,89,76,60,67,3,88,99,67,69,10,55,74,3,58
2025-12-27,80,17,84,41,3,18,49,4,83,22,54,75,86,91,54,76,7,28
2026-01-03,3,75,76,57,61,58,67,67,59,11,3,19,1,19,58,10,16,93
2026-01-10,9,69,66,84,67,32,24,5,4,97,83,76,18,40,91,67,51,77
2026-01-17,24,70,69,61,20,98,24,76,14,60,61,82,12,97,23,80,85,74
2026-01-24,0,92,24,35,69,52,92,0,5,69,81,75,47,25,69,6,27,34
2026-01-31,62,1,17,48,61,39,77,2,64,33,60,18,85,39,49,36,28,37
2026-02-07,29,20,69,10,92,70,60,76,54,31,61,76,21,68,89,12,76,29
2026-02-14,79,56,42,14,9,51,35,70,70,79,51,63,65,33,37,31,73,44
2026-02-21,18,76,53,22,63,33,56,66,95,45,60,72,97,61,20,79,87,22
2026-02-28,6,37,32,35,71,99,59,90,56,86,43,37,43,4,26,16,5,39
2026-03-07,0,83,2,91,19,36,14,19,95,11,95,46,55,56,81,12,40,49
2026-03-14,47,42,74,7,99,19,36,73,97,91,57,24,39,98,46,83,24,19
2026-03-21,61,53,53,9,18,48,0,7,69,98,12,89,97,59,95,74,52,61
2026-03-28,58,82,15,48,41,60,36,80,28,88,3,40,27,18,5,40,9,93
2026-04-04,2,67,15,31,90,58,55,55,11,42,19,69,2,35,78,42,12,27
2026-04-11,49,20,90,29,87,7,93,98,26,1,15,61,95,67,24,51,48,34
2026-04-18,55,58,8,21,28,2,79,67,98,30,27,96,95,73,2,12,18,77
2026-04-25,57,8,85,54,0,46,41,85,17,30,83,36,38,96,29,91,20,53
2026-05-02,14,30,67,78,27,44,47,60,96,26,42,89,6,53,71,94,27,8
2026-05-09,89,10,43,36,79,93,96,8,1,86,70,83,55,83,1,13,64,64
2026-05-16,43,68,67,15,26,34,25,52,68,88,68,51,96,35,98,12,64,90
2026-05-23,71,64,47,33,71,44,25,92,82,22,68,68,36,75,51,23,29,14
2026-05-30,76,50,33,87,72,19,90,57,49,91,17,59,80,40,45,33,71,19
2026-06-06,99,20,48,59,1,2,6,66,37,94,14,21,7,74,82,8,14,6
2026-06-13,37,63,81,15,14,49,68,31,39,7,82,36,74,20,66,68,61,31
2026-06-20,2,78,89,97,42,7,82,75,47,85,29,70,33,78,57,29,23,73
2026-06-27,31,83,17,26,38,19,2,36,87,18,82,12,78,22,8,24,49,17
2026-07-04,58,31,43,39,31,55,37,75,44,69,41,2,21,29,8,58,17,64
2026-07-11,97,59,88,83,13,38,63,65,34,25,31,30,78,74,92,47,65,28
