date,station,station_code,special,prize1,prize2,prize3_1,prize3_2,prize4_1,prize4_2,prize4_3,prize4_4,prize4_5,prize4_6,prize4_7,prize5,prize6_1,prize6_2,prize6_3,prize7,prize8
2025-07-12,Long An,XSLA - 7K2,40440,79061,59944,83910,908,22542,36844,34772,46442,98919,61151,43513,674,3283,9844,7996,404,36
2025-07-19,Long An,XSLA - 7K3,209794,10168,25174,31817,65189,62141,53613,3720,19726,81108,67106,54402,709,6296,7087,7032,548,91
2025-07-26,Long An,XSLA - 7K4,214717,2952,62736,12133,56339,24594,78363,57729,17419,47091,32506,29647,9160,2227,128,7686,663,74
2025-08-02,Long An,XSLA - 8K1,572700,9692,25431,15208,5410,4529,36714,47524,80714,98777,70313,94572,2807,4330,6477,6480,614,58
2025-08-09,Long An,XSLA - 8K2,721177,25010,73066,64141,35420,3476,39207,14632,66354,11912,42362,10222,5661,8884,2297,679,93,37
2025-08-16,Long An,XSLA - 8K3,497116,70925,58610,23778,65165,77596,18503,93455,34094,47887,76946,12138,1379,5095,9277,8421,516,21
2025-08-23,Long An,XSLA - 8K4,715354,94407,20911,21284,53388,7745,88817,50691,75385,50010,27101,30114,6144,8849,1033,1476,226,87
2025-08-30,Long An,XSLA - 8K5,614623,7699,98808,63748,91546,5895,3660,74953,68554,6879,49980,68908,509,3415,6181,442,665,86
2025-09-06,Long An,XSLA - 9K1,32484,22798,84103,7101,43510,40772,98805,70754,60430,32598,52461,76830,9733,8805,3509,1777,104,50
2025-09-13,Long An,XSLA - 9K2,85198,15863,33090,31202,10593,62447,14058,38876,99002,36679,15655,75639,7629,9823,1563,7235,721,53
2025-09-20,Long An,XSLA - 9K3,486362,51695,92899,98253,2390,78550,43679,7025,37911,5979,94576,12928,7759,9427,5807,1090,620,54
2025-09-27,Long An,XSLA - 9K4,352895,16407,75956,61602,75884,35165,38553,53335,6075,19577,13959,28748,2430,9844,6104,4835,710,72
2025-10-04,Long An,XSLA - 10K1,213235,5305,20618,72978,66,90313,37540,32703,49092,31429,37968,75877,6455,5070,8499,951,207,48
2025-10-11,Long An,XSLA - 10K2,110001,68623,80755,46684,28521,22884,12428,56732,15067,9028,3311,20069,778,8164,5527,7490,840,43
2025-10-18,Long An,XSLA - 10K3,301877,73802,48582,63289,20850,16924,4413,93943,69132,12641,19983,10739,3737,4308,423,1109,232,41
2025-10-25,Long An,XSLA - 10K4,248337,31867,97731,67412,9385,82914,60057,67506,2322,93910,73621,26764,1310,3998,6791,9123,124,35
2025-11-01,Long An,XSLA - 11K1,313631,99412,62960,51655,68041,88405,19171,40133,41282,59731,77860,82866,840,9899,4639,8055,789,39
2025-11-08,Long An,XSLA - 11K2,336387,91495,42024,31346,34010,89017,13579,58005,53781,45610,17163,67930,2797,4119,2071,6718,29,25
2025-11-15,Long An,XSLA - 11K3,773402,87605,86417,42651,83861,67766,8392,20457,57760,49691,91795,89484,8587,1318,9870,7472,160,8
2025-11-22,Long An,XSLA - 11K4,480092,63271,25691,6406,17965,71769,47079,92856,14841,10568,87423,47753,7330,6732,8060,7433,924,23
2025-11-29,Long An,XSLA - 11K5,407956,51868,13209,13328,50673,79117,61315,51372,15473,65904,85980,39069,633,7450,4545,1935,551,49
2025-12-06,Long An,XSLA - 12K1,277030,97759,56181,79639,35850,69780,39402,77533,8529,89536,26170,50649,3731,6736,5983,2394,537,60
2025-12-13,Long An,XSLA - 12K2,654759,5115,36713,33709,52560,45226,35089,18681,23133,49862,7218,17528,9846,4046,1312,5826,658,87
2025-12-20,Long An,XSLA - 12K3,642511,19210,93848,46315,82089,11676,19260,14067,41503,58888,18699,16467,9769,8510,7155,9774,403,58
2025-12-27,Long An,XSLA - 12K4,152880,45617,47184,17441,73703,7418,61949,34804,72683,66122,73554,80275,6786,2391,8754,1576,707,28
2026-01-03,Long An,XSLA - 1K1,587703,26975,73876,24557,96961,75958,67867,86767,6559,91611,30403,42819,8101,719,4758,3810,16,93
2026-01-10,Long An,XSLA - 1K2,718609,92269,38666,88984,42567,32432,61624,8405,35304,68797,10583,5376,1718,8540,6591,1067,251,77
2026-01-17,Long An,XSLA - 1K3,384224,23770,72469,2861,31120,50898,17924,74476,46614,23060,16961,26082,812,5597,6123,4680,385,74
2026-01-24,Long An,XSLA - 1K4,145400,91392,82824,37435,68369,59352,53192,24300,18105,21869,99781,4275,1447,225,269,2506,427,34
2026-01-31,Long An,XSLA - 1K5,362662,69201,98717,72448,92761,8639,89177,34502,38064,84633,92460,47218,285,4739,7149,4036,528,37
2026-02-07,Long An,XSLA - 2K1,6929,20520,30669,56110,6192,87870,34160,18576,42354,92631,96661,46576,6721,1468,5689,2612,776,29
2026-02-14,Long An,XSLA - 2K2,546079,96356,32342,35014,24809,87551,23935,55170,58970,2579,90051,74563,6465,8333,2837,9931,173,44
2026-02-21,Long An,XSLA - 2K3,387418,5476,85053,70522,69863,83033,25856,97466,67395,15445,43660,54172,1497,5861,6620,6579,87,22
2026-02-28,Long An,XSLA - 2K4,782506,90537,20432,14035,38071,34199,9359,49190,79656,44686,30043,76337,8943,6704,9026,7216,905,39
2026-03-07,Long An,XSLA - 3K1,843300,46583,29202,34091,76419,12436,79014,43019,75395,66111,46495,18046,3055,556,4581,3412,740,49
2026-03-14,Long An,XSLA - 3K2,878247,73842,78274,18607,17899,63319,15836,50273,24697,71591,55757,97624,7639,6798,1346,9983,924,19
2026-03-21,Long An,XSLA - 3K3,80461,85853,61753,90809,12218,89748,87500,46407,63569,21998,29112,70089,3397,2559,5095,674,652,61
2026-03-28,Long An,XSLA - 3K4,988358,47282,90415,44048,3341,22760,97136,7580,85728,90388,94203,73240,9027,18,5905,6740,9,93
2026-04-04,Long An,XSLA - 4K1,4002,61067,71115,23731,37690,66258,2055,55755,31111,16342,16119,61869,202,2135,1578,2642,412,27
2026-04-11,Long An,XSLA - 4K2,169749,95720,62590,48129,9187,95907,6993,7698,6326,69201,73915,71161,4995,2667,824,8151,348,34
