date,special,prize1,prize2,prize3_1,prize3_2,prize4_1,prize4_2,prize4_3,prize4_4,prize4_5,prize4_6,prize4_7,prize5,prize6_1,prize6_2,prize6_3,prize7,prize8
2025-07-16,93,45,64,31,70,25,10,68,71,63,23,90,47,52,9,84,12,91
2025-07-23,61,30,93,79,56,35,48,15,93,68,38,48,46,82,90,79,93,75
2025-07-30,43,65,87,90,58,59,84,92,18,73,32,37,83,27,21,20,64,96
2025-08-06,67,87,72,51,10,73,10,12,48,35,77,45,41,8,25,52,1,64
2025-08-13,86,71,23,0,72,40,52,60,20,31,32,92,93,86,91,26,84,87
2025-08-20,45,7,52,40,34,66,96,28,77,17,29,90,90,78,59,23,40,44
2025-08-27,70,14,57,32,24,25,66,44,83,55,40,27,56,53,79,96,35,66
2025-09-03,93,14,0,15,8,24,26,11,83,4,96,38,51,97,20,40,15,29
2025-09-10,33,11,58,22,31,94,99,66,62,39,28,86,30,95,41,7,9,75
2025-09-17,41,72,44,63,70,45,8,67,66,72,44,49,68,97,96,61,71,97
2025-09-24,89,73,42,61,17,72,3,98,52,63,32,74,21,49,70,93,11,82
2025-10-01,69,28,92,25,49,49,56,60,13,51,47,76,34,20,15,49,71,80
2025-10-08,49,59,77,99,33,86,57,76,92,44,84,40,4,20,75,93,98,27
2025-10-15,99,34,1,37,23,62,34,36,45,98,78,67,52,3,5,99,49,52
2025-10-22,95,52,63,81,74,0,3,21,65,18,28,75,85,78,55,79,80,39
2025-10-29,59,32,79,55,67,51,46,15,54,1,36,36,40,44,10,35,9,34
2025-11-05,31,82,65,16,16,45,53,33,38,54,39,52,59,77,92,91,19,4
2025-11-12,31,47,13,48,75,55,20,66,6,53,15,54,30,77,76,66,1,4
2025-11-19,51,70,32,17,55,94,24,90,80,81,22,61,58,10,13,49,73,45
2025-11-26,28,75,30,67,66,35,28,72,13,71,41,87,3,17,87,23,18,24
2025-12-03,61,90,82,49,21,61,52,69,0,5,43,50,58,86,16,93,14,58
2025-12-10,26,67,36,34,74,79,91,61,14,48,28,56,3,83,76,55,6,12
2025-12-17,57,96,39,35,26,37,94,28,63,76,3,64,96,33,38,67,92,90
2025-12-24,14,55,87,85,89,51,59,32,47,7,49,93,10,17,28,8,11,6
2025-12-31,88,11,88,7,56,21,50,52,8,46,73,42,23,30,65,71,76,4
2026-01-07,33,10,39,55,17,79,1,45,19,98,18,55,11,44,57,88,45,23
2026-01-14,81,14,65,49,25,42,45,49,1,46,86,57,3,8,23,52,63,69
2026-01-21,41,1,85,30,12,64,53,5,39,63,64,27,74,86,88,29,71,5
2026-01-28,23,48,12,16,38,42,65,28,62,22,32,47,67,99,41,0,69,93
2026-02-04,9,47,57,1,1,56,76,22,63,29,10,27,96,5,67,41,93,68
2026-02-11,46,35,25,87,85,36,30,30,30,14,62,3,1,55,66,45,94,32
2026-02-18,68,37,50,82,48,32,40,97,92,33,11,34,99,16,78,43,80,42
2026-02-25,69,69,8,86,43,24,4,94,47,26,77,82,12,92,73,97,56,45
2026-03-04,98,13,26,22,47,66,21,94,84,71,70,57,39,74,91,56,77,11
2026-03-11,18,29,5,56,39,59,13,16,45,25,97,18,32,1,18,70,23,50
2026-03-18,29,43,52,21,77,87,77,34,71,74,4,47,28,19,98,33,95,55
2026-03-25,0,40,23,32,45,89,29,60,88,50,41,29,87,91,74,76,96,71
2026-04-01,19,46,25,49,78,86,76,35,23,36,18,74,88,87,91,40,62,3
2026-04-08,95,28,36,3,1,63,88,81,39,91,45,78,18,94,25,76,18,21
2026-04-15,3,48,8,65,69,50,22,51,45,27,71,12,29,63,76,75,77,36
2026-04-22,80,95,46,36,60,61,44,66,53,98,93,99,41,76,67,53,42,0
2026-04-29,46,63,5,36,93,87,57,31,77,46,1,24,30,26,92,56,81,53
2026-05-06,40,86,36,65,93,45,81,6,59,64,90,92,20,13,13,90,37,78
2026-05-13,51,20,58,68,68,26,89,98,80,53,63,73,90,51,44,73,62,79
2026-05-20,74,9,90,57,87,46,97,58,20,0,28,1,43,19,94,63,10,98
2026-05-27,38,39,93,84,62,30,9,83,7,49,98,3,62,68,3,1,53,64
2026-06-03,57,85,2,62,54,81,61,67,1,25,25,45,8,7,13,82,75,57
2026-06-10,79,75,78,33,32,13,14,55,47,9,0,26,43,5,77,40,90,54
2026-06-17,98,22,63,57,29,69,62,95,82,95,67,37,17,32,50,35,26,33
2026-06-24,60,44,7,0,39,20,60,92,74,4,52,73,37,23,80,93,99,20
2026-07-01,87,65,1,58,73,70,97,37,30,9,70,65,44,19,61,46,96,97
2026-07-08,97,46,96,92,18,54,79,78,18,95,52,83,3,93,63,64,16,48
