date,station,station_code,special,prize1,prize2,prize3_1,prize3_2,prize4_1,prize4_2,prize4_3,prize4_4,prize4_5,prize4_6,prize4_7,prize5,prize6_1,prize6_2,prize6_3,prize7,prize8
2025-07-16,Sóc Trăng,XSST - K3T7,84693,24845,85864,56031,11170,44725,55510,5368,98771,39463,72723,22490,3447,7152,8909,9584,12,91
2025-07-23,Sóc Trăng,XSST - K4T7,164361,20230,29693,86379,29756,87135,97148,99715,11893,62368,75538,33748,3346,9782,390,6679,593,75
2025-07-30,Sóc Trăng,XSST - K5T7,68343,60365,20387,59190,53258,88759,784,83892,77018,13373,66332,9137,2783,3627,1121,5020,964,96
2025-08-06,Sóc Trăng,XSST - K1T8,57267,52887,29272,16451,18210,36873,88510,5312,88748,3235,60077,60045,7241,5808,6725,5452,901,64
2025-08-13,Sóc Trăng,XSST - K2T8,937286,96571,68223,73900,34972,71740,9952,37160,79920,69131,19132,12892,6293,5686,9091,2926,684,87
2025-08-20,Sóc Trăng,XSST - K3T8,76945,20107,32752,3840,36634,24266,56396,34028,27177,97717,74329,78390,8590,7078,1859,8223,540,44
2025-08-27,Sóc Trăng,XSST - K4T8,802770,9214,18557,71132,98024,99625,75666,92744,40383,51155,16340,22927,2556,9853,6579,9896,235,66
2025-09-03,Sóc Trăng,XSST - K1T9,500693,13214,6400,51115,78008,76524,98226,3711,19183,27804,81996,4038,1751,4897,2320,7740,215,29
2025-09-10,Sóc Trăng,XSST - K2T9,477233,32611,52158,4122,95131,73594,85499,33466,49862,38439,32328,12086,6730,7195,2041,3307,609,75
2025-09-17,Sóc Trăng,XSST - K3T9,391541,5572,7344,82363,6470,65045,13608,17467,95066,23972,16544,52749,9368,2597,6896,2061,771,97
2025-09-24,Sóc Trăng,XSST - K4T9,93189,58473,77842,47961,89517,67672,27803,67098,91152,58963,80832,92374,6021,149,4270,3593,411,82
2025-10-01,Sóc Trăng,XSST - K1T10,841769,13928,19892,99425,25149,59349,64556,72160,65513,89851,52547,53476,6234,3620,7015,8849,471,80
2025-10-08,Sóc Trăng,XSST - K2T10,15449,61659,80477,85799,10233,28186,27457,57376,91792,6144,19584,65940,9304,1720,1475,693,998,27
2025-10-15,Sóc Trăng,XSST - K3T10,832899,96434,97001,27437,7723,25662,434,56136,745,67198,69778,13967,1852,3503,4405,2599,449,52
2025-10-22,Sóc Trăng,XSST - K4T10,592795,25252,93963,62981,66874,73300,1703,17021,41865,29718,43128,59875,7285,2478,3755,3379,80,39
2025-10-29,Sóc Trăng,XSST - K5T10,274359,91232,55879,7555,25167,87151,33046,46615,95554,56501,91036,30836,2640,3244,8110,6035,209,34
2025-11-05,Sóc Trăng,XSST - K1T11,539631,69582,8065,72716,53416,31945,32853,24433,42838,81254,43339,66452,1559,9977,8092,3791,319,4
2025-11-12,Sóc Trăng,XSST - K2T11,610231,11047,6713,73348,41375,22155,9320,77966,19206,66753,48115,3954,5130,9577,4076,66,801,4
2025-11-19,Sóc Trăng,XSST - K3T11,380451,26970,57832,76817,12755,23494,98624,45390,280,34581,22722,23061,3158,6810,1413,2149,973,45
2025-11-26,Sóc Trăng,XSST - K4T11,133228,96775,76630,57267,28666,51935,26428,45372,14813,28371,141,91187,6003,717,487,9723,918,24
2025-12-03,Sóc Trăng,XSST - K1T12,912561,28390,3882,78249,40821,22261,83252,44769,24500,47605,14343,96350,1158,1486,8716,2693,314,58
2025-12-10,Sóc Trăng,XSST - K2T12,331026,51467,57536,69734,74574,72379,56291,16661,85214,78348,46428,43556,6803,883,2776,4455,206,12
2025-12-17,Sóc Trăng,XSST - K3T12,401557,29896,81139,26135,29826,68037,22994,59528,10963,88376,42303,89264,6096,7333,6438,2467,92,90
2025-12-24,Sóc Trăng,XSST - K4T12,349114,10055,73787,40985,62589,43551,22359,57032,96747,15907,63649,36793,8010,5417,3328,1308,811,6
2025-12-31,Sóc Trăng,XSST - K5T12,878688,58111,87688,98207,39756,68121,22050,68552,15508,95646,35173,96242,123,7230,2265,1071,176,4
2026-01-07,Sóc Trăng,XSST - K1T1,205933,37110,61939,85255,65817,63279,36801,67445,89919,79098,52318,51255,1611,6244,2457,3988,45,23
2026-01-14,Sóc Trăng,XSST - K2T1,311981,32614,26465,92949,2625,64342,55345,27549,5001,40246,23086,51857,4003,6808,2323,9452,263,69
2026-01-21,Sóc Trăng,XSST - K3T1,200841,90201,36285,84230,2812,22864,19153,21905,19639,66263,91364,60927,5674,2686,8088,3029,71,5
2026-01-28,Sóc Trăng,XSST - K4T1,973923,53048,89012,59616,10238,14742,38965,72228,30262,17622,45932,51347,3267,4199,241,2400,869,93
2026-02-04,Sóc Trăng,XSST - K1T2,543109,47947,26857,98601,18301,18656,91876,7222,44563,92229,58710,44527,3996,7405,8467,6441,593,68
2026-02-11,Sóc Trăng,XSST - K2T2,725746,56135,64625,35887,92285,85436,57830,49130,64330,23814,38662,78603,4301,9355,8466,945,294,32
2026-02-18,Sóc Trăng,XSST - K3T2,203468,7637,47050,12682,52248,70232,32740,79097,20592,77133,22411,61134,6099,8716,8878,8743,480,42
2026-02-25,Sóc Trăng,XSST - K4T2,46969,64669,56408,64286,51043,81824,13604,41794,41447,60726,79877,72582,6012,7192,8573,8397,956,45
2026-03-04,Sóc Trăng,XSST - K1T3,797098,20113,88226,54122,5947,47166,35621,87794,64284,36771,7470,90557,4939,2474,1191,9656,277,11
2026-03-11,Sóc Trăng,XSST - K2T3,940018,46529,92405,18756,93139,2059,95413,51116,47545,25525,7397,9418,4632,7901,4818,1470,623,50
2026-03-18,Sóc Trăng,XSST - K3T3,499929,56143,3152,89221,86177,51587,30577,54034,27371,44474,68904,29747,6928,8119,8898,7833,995,55
2026-03-25,Sóc Trăng,XSST - K4T3,919600,76840,48123,89832,18245,67489,33329,99460,4988,92550,32841,78029,4687,5091,474,5476,396,71
2026-04-01,Sóc Trăng,XSST - K1T4,248819,946,73325,29449,58678,62786,21576,45235,68423,74436,59618,1674,9088,2987,691,6840,162,3
2026-04-08,Sóc Trăng,XSST - K2T4,578495,26228,37236,24103,58801,87263,79988,96881,10739,56991,15845,17178,18,8394,2125,5076,318,21
2026-04-15,Sóc Trăng,XSST - K3T4,457503,82548,53708,69265,33669,80650,78122,18251,76745,87027,39371,5112,9129,9763,1276,6075,977,36
2026-04-22,Sóc Trăng,XSST - K4T4,953280,21495,5046,49036,49160,33761,22444,3266,65553,18398,93,14299,2441,2676,2867,7353,642,0
2026-04-29,Sóc Trăng,XSST - K5T4,381546,64163,29405,19736,69993,1787,65157,14231,19977,70846,30701,30124,7530,7126,392,7156,781,53
2026-05-06,Sóc Trăng,XSST - K1T5,127240,31786,49136,92265,70293,16545,77581,71806,82059,16964,85690,69692,5920,6113,5413,5490,437,78
