date,special,prize1,prize2,prize3_1,prize3_2,prize4_1,prize4_2,prize4_3,prize4_4,prize4_5,prize4_6,prize4_7,prize5,prize6_1,prize6_2,prize6_3,prize7,prize8
2025-07-17,50,32,66,54,20,97,86,63,48,5,50,56,23,96,43,38,73,71
2025-07-24,42,42,78,95,73,38,35,1,74,71,10,97,88,10,79,29,15,23
2025-07-31,49,25,29,60,2,71,56,74,93,5,60,71,43,35,40,5,66,6
2025-08-07,51,53,8,39,23,82,36,40,98,62,24,63,57,28,33,34,27,32
2025-08-14,61,14,95,28,75,73,32,34,51,24,44,72,71,36,53,43,17,62
2025-08-21,3,23,28,75,59,42,93,44,85,10,86,79,77,58,71,31,66,90
2025-08-28,86,74,68,39,85,95,98,56,49,97,55,20,78,87,66,80,33,0
2025-09-04,50,61,50,16,3,50,10,26,61,96,34,27,45,39,78,84,5,98
2025-09-11,21,66,22,80,52,69,29,49,20,33,68,35,64,48,91,60,31,52
2025-09-18,19,26,32,74,20,71,67,17,17,73,66,82,76,58,66,16,44,71
2025-09-25,30,65,2,36,8,52,14,47,69,93,46,73,13,53,71,98,97,71
2025-10-02,55,28,90,68,40,29,82,74,92,46,95,15,20,22,98,66,38,64
2025-10-09,95,24,92,9,41,42,80,91,49,28,30,45,9,4,32,28,32,41
2025-10-16,89,76,79,63,45,35,23,69,19,20,93,78,13,34,14,60,8,33
2025-10-23,31,57,68,67,30,13,71,90,72,96,49,37,34,78,28,21,11,52
2025-10-30,24,31,31,64,36,28,38,16,69,30,31,36,50,19,90,31,70,14
2025-11-06,68,64,91,96,46,46,53,20,76,24,13,35,74,14,36,47,60,76
2025-11-13,73,22,41,65,63,87,17,94,33,70,94,30,22,15,94,61,17,51
2025-11-20,57,96,53,57,25,4,25,24,53,4,86,19,70,92,3,80,48,91
2025-11-27,15,71,51,50,3,71,54,75,72,8,17,82,25,56,72,33,29,36
2025-12-04,88,77,40,4,99,82,54,44,41,97,24,66,30,50,13,9,53,56
2025-12-11,47,44,63,96,83,74,62,15,22,78,21,51,33,89,13,21,85,49
2025-12-18,19,21,59,41,62,59,44,38,15,95,81,48,84,26,86,71,24,73
2025-12-25,63,75,65,40,20,66,77,4,87,40,89,35,35,90,37,99,54,94
2026-01-01,40,91,33,74,51,45,85,16,2,97,95,34,57,18,57,89,17,32
2026-01-08,76,95,28,66,31,89,12,81,35,22,68,83,18,6,48,26,4,5
2026-01-15,28,96,91,75,90,68,49,80,91,17,62,21,94,62,20,51,35,42
2026-01-22,51,50,15,57,15,20,43,76,81,65,24,1,54,30,72,96,60,4
2026-01-29,84,17,70,88,47,62,66,68,22,47,81,1,47,16,95,0,58,87
2026-02-05,46,44,8,9,19,16,4,75,39,75,36,75,77,20,84,95,62,21
2026-02-12,94,10,48,31,66,4,45,58,89,63,75,53,23,60,91,27,11,32
2026-02-19,19,80,49,56,42,24,32,43,1,55,3,47,61,64,40,49,46,85
2026-02-26,2,11,53,76,13,42,1,96,15,14,0,53,45,86,57,45,48,67
2026-03-05,34,3,67,25,4,30,38,98,60,2,93,87,82,31,74,54,88,38
2026-03-12,83,35,86,2,36,69,26,32,32,64,56,66,47,5,74,16,96,27
2026-03-19,7,6,35,28,19,57,70,35,88,48,46,52,63,5,72,78,92,39
2026-03-26,49,6,9,16,15,62,45,36,37,16,60,80,96,23,25,82,13,60
2026-04-02,74,75,23,67,43,58,6,92,69,60,38,36,47,12,51,19,55,85
2026-04-09,65,48,80,33,65,35,88,74,48,96,0,68,67,61,25,60,89,25
2026-04-16,54,65,25,31,89,29,98,5,49,97,35,97,47,7,66,80,82,62
2026-04-23,53,22,5,6,58,52,40,36,80,78,7,14,5,44,2,6,66,92
2026-04-30,44,51,22,57,65,57,36,64,10,46,22,10,50,33,64,6,51,51
2026-05-07,12,56,82,99,57,52,85,79,28,15,99,98,13,57,38,92,37,93
2026-05-14,28,89,50,96,43,10,40,55,9,39,89,1,96,23,14,17,38,90
2026-05-21,87,23,64,88,89,50,61,65,30,46,31,70,55,22,19,88,98,97
2026-05-28,32,51,48,15,7,83,36,99,78,73,6,28,55,61,9,90,2,74
2026-06-04,13,45,30,13,60,53,74,77,55,12,17,71,8,78,65,9,41,1
2026-06-11,92,88,79,38,7,95,99,11,64,71,67,4,9,40,19,25,16,27
2026-06-18,85,66,46,47,3,89,17,87,52,85,26,1,31,38,94,69,87,37
2026-06-25,84,26,57,75,25,9,21,55,35,74,36,54,48,40,21,28,30,21
2026-07-02,7,74,42,54,83,51,60,68,84,41,13,7,57,85,98,72,81,93
2026-07-09,50,30,54,53,69,62,34,27,73,26,51,86,73,10,24,86,54,27
