date,station,station_code,special,prize1,prize2,prize3_1,prize3_2,prize4_1,prize4_2,prize4_3,prize4_4,prize4_5,prize4_6,prize4_7,prize5,prize6_1,prize6_2,prize6_3,prize7,prize8
2025-07-17,Tây Ninh,XSTN - 7K3,447050,97232,23066,9054,69520,80397,2786,31563,36648,47305,25450,59156,8123,5996,143,438,773,71
2025-07-24,Tây Ninh,XSTN - 7K4,917242,20442,40578,86895,1173,74438,88135,77401,40674,64571,75810,83897,88,3510,6079,7729,115,23
2025-07-31,Tây Ninh,XSTN - 7K5,618749,70525,63829,11460,37402,78571,85356,16174,21093,82305,5960,31171,7043,8235,6040,705,666,6
2025-08-07,Tây Ninh,XSTN - 8K1,174051,12953,14408,46939,39623,33082,19536,85640,59998,61562,81824,25563,4257,628,3733,5434,227,32
2025-08-14,Tây Ninh,XSTN - 8K2,367961,72214,57695,17028,41175,5473,81432,35134,84451,89324,34044,14672,6571,1936,9853,5243,817,62
2025-08-21,Tây Ninh,XSTN - 8K3,351303,80523,70628,87775,60059,85642,30693,59144,35085,3810,47386,8079,2577,6058,2171,6231,466,90
2025-08-28,Tây Ninh,XSTN - 8K4,256886,61574,80968,76239,94985,47895,43098,54756,93649,80997,4855,56220,7578,9287,9066,9580,133,0
2025-09-04,Tây Ninh,XSTN - 9K1,174550,40661,28250,42916,32303,97550,99510,91726,27361,34396,13234,68027,6345,7939,5878,5484,305,98
2025-09-11,Tây Ninh,XSTN - 9K2,417121,83066,69222,73580,44452,33569,77329,44549,34020,49233,74968,7135,464,2248,8191,8260,131,52
2025-09-18,Tây Ninh,XSTN - 9K3,247819,83426,47632,24874,59520,97771,74967,94717,82517,50373,23466,29782,4776,6658,6966,316,544,71
2025-09-25,Tây Ninh,XSTN - 9K4,68430,87765,21002,66636,17208,10752,66514,22447,64069,293,48846,93773,313,5153,271,9798,397,71
2025-10-02,Tây Ninh,XSTN - 10K1,262355,9428,42290,62168,29140,74929,15982,77874,34792,24746,96895,83115,1220,3122,3598,2666,138,64
2025-10-09,Tây Ninh,XSTN - 10K2,118795,30824,2992,84309,33041,22542,3880,94591,64249,67228,8830,27645,6409,5504,7032,328,632,41
2025-10-16,Tây Ninh,XSTN - 10K3,722489,13176,39179,79663,18145,48935,2223,92369,29119,53820,4293,38578,4513,3434,4014,2860,108,33
2025-10-23,Tây Ninh,XSTN - 10K4,351331,93657,56768,95267,5530,65413,24271,38390,24372,79796,97349,36137,2134,3678,2928,1421,711,52
2025-10-30,Tây Ninh,XSTN - 10K5,45224,32931,61431,11564,22236,29828,21038,67916,82569,72430,28831,41836,8150,9219,2090,2331,470,14
2025-11-06,Tây Ninh,XSTN - 11K1,790768,83264,67591,7496,77746,68846,95853,85720,976,87424,14013,32235,5574,3714,9936,8347,460,76
2025-11-13,Tây Ninh,XSTN - 11K2,132673,66322,3841,86565,72963,49987,82917,40694,27333,21970,78694,90430,7122,9515,2694,3761,517,51
2025-11-20,Tây Ninh,XSTN - 11K3,355957,21896,51853,55657,8825,81004,29425,9224,23053,47104,88586,47319,8170,7692,8703,880,748,91
2025-11-27,Tây Ninh,XSTN - 11K4,291515,93471,40151,43650,57903,34971,2754,17075,40372,22908,8117,70082,1225,7156,3572,5933,729,36
2025-12-04,Tây Ninh,XSTN - 12K1,718588,9877,9840,19804,19499,63282,17254,5044,63941,32497,66124,87866,1130,3250,2013,909,153,56
2025-12-11,Tây Ninh,XSTN - 12K2,473447,95144,39363,36796,68783,7774,56162,31615,59322,47378,46021,6351,9133,2489,8813,5621,385,49
2025-12-18,Tây Ninh,XSTN - 12K3,393219,12321,26959,67441,61262,69359,89344,63638,19815,88395,74281,60648,184,1426,9486,9271,624,73
2025-12-25,Tây Ninh,XSTN - 12K4,879863,60375,70465,49140,40020,45966,11577,4104,21587,20640,67989,36535,5735,3190,5237,8499,654,94
2026-01-01,Tây Ninh,XSTN - 1K1,194340,89391,48933,19274,24651,34645,11385,52716,45902,31597,79295,52834,6957,5618,3957,8189,517,32
2026-01-08,Tây Ninh,XSTN - 1K2,796976,7195,61828,43966,70431,12089,76012,18581,96935,94622,78268,49083,7318,7906,6648,8226,904,5
2026-01-15,Tây Ninh,XSTN - 1K3,430028,68596,43391,28675,39990,60668,99649,85680,91591,68417,93562,96521,7394,9162,2620,7951,535,42
2026-01-22,Tây Ninh,XSTN - 1K4,995451,2150,59715,857,64315,98420,26143,876,30981,46965,94624,33101,454,4230,3972,3396,960,4
2026-01-29,Tây Ninh,XSTN - 1K5,394184,72617,83970,40788,90447,39162,73566,71068,4822,43347,95481,39001,3447,3016,1095,9100,858,87
2026-02-05,Tây Ninh,XSTN - 2K1,207446,92844,74108,49309,53319,65216,9604,33475,72139,25575,58736,18775,9677,3920,884,7795,362,21
