date,special,prize1,prize2,prize3_1,prize3_2,prize4_1,prize4_2,prize4_3,prize4_4,prize4_5,prize4_6,prize4_7,prize5,prize6_1,prize6_2,prize6_3,prize7,prize8
2025-07-18,38,43,15,50,53,74,53,76,23,35,39,41,98,3,51,77,89,84
2025-07-25,37,9,85,76,93,83,6,65,0,94,14,4,88,7,20,17,58,68
2025-08-01,77,36,23,81,13,92,83,40,41,28,71,97,67,27,79,15,8,88
2025-08-08,42,75,22,78,48,70,13,90,30,73,98,43,79,72,53,33,24,55
2025-08-15,42,44,21,20,37,74,79,53,66,2,30,82,77,31,86,53,59,61
2025-08-22,69,12,91,2,36,6,45,90,10,40,57,5,44,13,45,70,31,15
2025-08-29,39,40,8,97,35,32,30,37,12,64,44,82,4,8,94,43,73,38
2025-09-05,25,37,62,97,63,70,86,2,40,34,84,35,13,57,62,4,4,45
2025-09-12,74,93,81,83,26,74,99,61,61,5,40,56,2,54,90,58,70,22
2025-09-19,97,9,52,81,62,11,36,8,40,14,8,83,27,52,65,58,94,38
2025-09-26,64,12,0,82,61,27,74,83,49,12,18,88,39,2,51,46,54,42
2025-10-03,65,2,77,91,52,95,25,97,8,28,1,81,51,33,10,76,39,49
2025-10-10,69,83,23,32,17,38,36,23,42,20,63,52,44,42,47,35,91,23
2025-10-17,9,99,14,39,81,80,1,73,63,41,20,5,62,66,16,0,42,53
2025-10-24,13,13,28,99,46,61,97,36,90,27,88,88,14,75,63,70,48,60
2025-10-31,89,13,48,5,10,98,80,90,78,16,60,51,22,64,95,64,97,91
2025-11-07,83,16,85,82,66,52,4,48,39,78,27,29,74,31,51,84,35,2
2025-11-14,2,49,97,85,49,16,90,11,27,39,58,26,24,73,20,79,55,46
2025-11-21,40,61,7,83,11,40,46,69,50,66,75,60,81,52,94,93,17,13
2025-11-28,46,89,32,99,30,71,3,84,62,55,61,98,83,30,23,52,32,95
2025-12-05,85,44,60,6,74,8,1,81,42,33,47,44,64,31,29,70,26,71
2025-12-12,93,42,4,22,30,32,31,3,80,76,95,28,22,74,58,24,91,42
2025-12-19,56,82,74,97,3,90,98,45,62,91,43,21,33,8,16,80,14,19
2025-12-26,13,39,9,87,52,52,31,96,25,80,23,83,51,20,25,84,80,31
2026-01-02,7,2,86,78,98,98,70,53,3,46,13,5,58,42,52,27,56,89
2026-01-09,24,50,66,56,10,42,55,95,31,58,7,37,44,50,68,54,85,6
2026-01-16,41,62,25,53,40,72,44,86,5,10,6,33,9,69,70,63,79,51
2026-01-23,46,77,9,88,0,53,11,58,27,17,26,83,79,74,50,37,23,0
2026-01-30,5,35,76,6,10,79,46,75,85,63,31,52,58,18,89,97,54,80
2026-02-06,23,14,80,76,59,1,8,59,28,90,46,17,89,84,99,62,74,38
2026-02-13,66,92,98,8,26,39,28,79,83,97,90,75,52,70,36,65,33,34
2026-02-20,0,70,52,49,15,86,42,99,40,9,61,4,79,59,79,21,25,67
2026-02-27,96,21,82,48,59,57,88,50,8,0,14,63,98,82,97,70,63,25
2026-03-06,30,96,38,21,8,12,14,33,25,86,36,32,83,63,68,66,27,45
2026-03-13,19,3,1,21,23,33,95,37,53,29,95,88,12,65,63,79,52,30
2026-03-20,27,85,26,35,34,90,46,15,21,39,11,76,55,20,38,77,71,32
2026-03-27,49,52,30,59,87,28,11,31,37,7,53,51,19,75,10,45,67,27
2026-04-03,33,34,17,26,36,82,54,62,75,38,50,33,87,56,54,99,60,83
2026-04-10,89,75,13,9,93,80,10,56,1,87,78,23,3,67,21,35,10,72
2026-04-17,57,62,72,33,32,29,26,70,45,91,51,80,98,74,67,69,18,41
2026-04-24,5,57,42,82,64,72,0,76,49,44,32,36,93,98,85,83,32,5
2026-05-01,70,27,13,68,37,2,98,18,73,16,32,57,15,99,86,54,18,70
2026-05-08,34,26,86,22,75,5,98,5,89,7,10,86,59,38,83,32,39,61
2026-05-15,42,21,72,94,95,90,79,96,90,92,22,89,39,25,52,33,56,49
2026-05-22,81,93,49,88,2,21,4,16,15,34,21,16,19,81,86,96,72,58
2026-05-29,63,20,26,12,62,3,23,43,82,73,34,38,74,37,6,40,45,81
2026-06-05,47,13,91,47,44,59,21,28,33,10,83,18,56,50,23,3,69,72
2026-06-12,77,57,21,22,98,86,4,17,54,28,25,42,99,23,91,17,26,46
2026-06-19,20,48,63,23,15,40,51,81,21,5,0,64,23,22,56,3,97,81
2026-06-26,18,44,28,89,62,95,16,51,39,91,7,90,60,75,2,43,23,9
2026-07-03,17,62,33,11,14,47,28,25,58,45,56,31,95,30,76,4,67,1
2026-07-10,2,92,76,48,69,86,96,0,9,74,48,5,82,85,24,51,0,51
