date,station,station_code,special,prize1,prize2,prize3_1,prize3_2,prize4_1,prize4_2,prize4_3,prize4_4,prize4_5,prize4_6,prize4_7,prize5,prize6_1,prize6_2,prize6_3,prize7,prize8
2025-07-18,Trà Vinh,XSTV - 34TV29,64438,92043,38515,63950,48453,59474,49453,4376,74723,39735,87039,58641,9498,9403,651,4477,389,84
2025-07-25,Trà Vinh,XSTV - 34TV30,125837,609,54485,25876,67293,2983,24706,41165,14800,46494,64714,56404,8188,5907,9520,9217,358,68
2025-08-01,Trà Vinh,XSTV - 34TV31,414777,53136,60023,77081,62313,24192,54283,41240,90141,50328,95471,2097,1467,8727,4379,4715,508,88
2025-08-08,Trà Vinh,XSTV - 34TV32,556242,26675,72822,36278,48,79670,6113,67490,40830,1173,3198,44443,2479,5372,4253,3833,524,55
2025-08-15,Trà Vinh,XSTV - 34TV33,81142,58744,68421,93820,5637,66374,99979,33953,466,97202,28430,63582,2477,4431,7486,7453,659,61
2025-08-22,Trà Vinh,XSTV - 34TV34,270569,12,98191,32202,42536,45206,15745,52490,43010,82640,64857,54605,9444,8913,2845,1470,931,15
2025-08-29,Trà Vinh,XSTV - 34TV35,601839,67940,74908,68397,50635,29332,41630,38337,56112,7564,79444,45382,6604,1908,4294,5643,73,38
2025-09-05,Trà Vinh,XSTV - 34TV36,451925,98937,24262,43897,32663,54070,44286,73502,39040,40134,28884,58735,8313,5457,1062,9504,4,45
2025-09-12,Trà Vinh,XSTV - 34TV37,754574,37893,96681,80283,73326,49974,699,68161,21461,43405,35240,23256,1702,8554,3090,5558,570,22
2025-09-19,Trà Vinh,XSTV - 34TV38,16097,97809,36352,86581,44762,88311,4036,1708,91240,80814,47908,68383,4627,1352,6165,5958,694,38
2025-09-26,Trà Vinh,XSTV - 34TV39,199764,69912,94100,14382,1461,47927,73874,94183,88549,85412,70618,68488,8139,7302,1451,7346,154,42
2025-10-03,Trà Vinh,XSTV - 34TV40,117665,72202,18277,12991,33952,36395,72225,92297,49608,60228,36001,66381,6151,6433,4710,6876,639,49
2025-10-10,Trà Vinh,XSTV - 34TV41,376469,79083,73723,27332,3517,40538,46736,23823,23942,46920,18563,61952,3344,2142,5847,9435,91,23
2025-10-17,Trà Vinh,XSTV - 34TV42,940509,94999,28214,12339,19181,25580,81001,27273,89663,60041,50120,87505,2662,5066,4216,8000,842,53
2025-10-24,Trà Vinh,XSTV - 34TV43,941913,46013,61928,76499,74346,24161,17797,88036,76390,14127,91488,12388,2914,7975,563,4570,448,60
2025-10-31,Trà Vinh,XSTV - 34TV44,342489,77213,59948,61105,58110,28198,56480,26490,96178,77616,26060,47151,6022,3864,1095,9864,397,91
2025-11-07,Trà Vinh,XSTV - 34TV45,765683,66216,92785,6582,74766,33952,2404,34348,76139,48078,90827,90829,4974,131,5451,1784,135,2
2025-11-14,Trà Vinh,XSTV - 34TV46,247902,56549,34097,95485,41549,43516,2590,47311,12127,4439,83858,10326,7124,773,9520,7179,655,46
2025-11-21,Trà Vinh,XSTV - 34TV47,983640,45961,27907,61283,14211,12540,17546,48469,42950,80966,84475,75260,3081,1252,1494,9293,217,13
2025-11-28,Trà Vinh,XSTV - 34TV48,240446,47489,47732,60999,68630,25071,62403,62484,93662,55655,12361,58598,8283,5530,4123,4152,32,95
2025-12-05,Trà Vinh,XSTV - 34TV49,451385,84044,99460,38106,50174,53108,69701,26881,88642,72233,14447,64744,6764,7731,8129,9670,726,71
2025-12-12,Trà Vinh,XSTV - 34TV50,608893,32142,57804,12722,30430,14232,30831,73703,81080,99176,48995,6928,9922,7674,2258,4824,991,42
2025-12-19,Trà Vinh,XSTV - 34TV51,21256,12582,54674,57897,3903,7590,23898,53045,24462,83791,54643,36521,1933,9308,4116,8580,714,19
2025-12-26,Trà Vinh,XSTV - 34TV52,240813,79939,7009,1987,44952,95752,12931,10396,39025,48880,67523,91583,9451,4120,125,9384,980,31
2026-01-02,Trà Vinh,XSTV - 35TV01,195707,66002,91586,33378,78998,94198,31170,45253,13903,91346,88313,22705,3558,7842,9052,3027,956,89
2026-01-09,Trà Vinh,XSTV - 35TV02,461724,67350,33066,12956,95610,47642,11355,7995,88731,89458,53307,2437,3644,3050,2568,8454,485,6
2026-01-16,Trà Vinh,XSTV - 35TV03,962541,91562,26125,30353,43540,21272,91844,93586,83705,63410,98406,40133,1609,8269,3870,8063,79,51
2026-01-23,Trà Vinh,XSTV - 35TV04,860646,14377,34509,69588,90800,73253,72911,78758,82827,68817,81726,88283,4379,4274,7750,9737,923,0
2026-01-30,Trà Vinh,XSTV - 35TV05,524605,64435,48576,54306,9010,37579,38846,51075,12885,62363,10531,81452,2358,4518,1989,7897,354,80
2026-02-06,Trà Vinh,XSTV - 35TV06,546923,24014,58180,96776,28659,90601,1408,50659,44528,16890,38746,26517,2689,1984,4999,3962,74,38
2026-02-13,Trà Vinh,XSTV - 35TV07,759966,14092,15398,5108,87126,22539,90928,28279,51883,38097,73690,82175,5552,6470,3236,8465,233,34
2026-02-20,Trà Vinh,XSTV - 35TV08,190900,84570,59752,849,37115,18186,51342,15099,8740,80509,47161,85704,5679,6259,4579,821,225,67
2026-02-27,Trà Vinh,XSTV - 35TV09,332996,50921,48682,64548,98259,4157,24188,98450,37908,63500,31114,16463,498,2382,6597,3670,163,25
2026-03-06,Trà Vinh,XSTV - 35TV10,696030,41796,67338,47221,81308,68612,74314,1233,31025,12986,49936,39032,7683,4063,7368,3466,27,45
2026-03-13,Trà Vinh,XSTV - 35TV11,42019,55903,46101,49321,91323,53333,14895,87437,83053,1929,75595,18088,3912,7665,3163,879,352,30
2026-03-20,Trà Vinh,XSTV - 35TV12,780627,7085,55226,64135,18634,21590,93546,47415,40821,64339,85611,88576,1455,4120,7138,7277,771,32
2026-03-27,Trà Vinh,XSTV - 35TV13,718149,17552,34930,81159,787,75828,99411,4631,41737,3207,29853,89651,3619,9675,5610,5945,267,27
2026-04-03,Trà Vinh,XSTV - 35TV14,854133,83034,69217,96426,63136,82882,47954,10562,17675,41538,69150,16133,6287,2056,6054,6199,60,83
2026-04-10,Trà Vinh,XSTV - 35TV15,46089,29275,7713,46909,58293,28880,3310,12256,52801,18187,72878,64323,9203,8367,4321,1235,210,72
2026-04-17,Trà Vinh,XSTV - 35TV16,771757,7462,17972,24933,15432,88729,46026,28870,11045,96291,9951,12580,7498,3774,9567,1669,18,41
2026-04-24,Trà Vinh,XSTV - 35TV17,966205,97557,91142,9282,95064,80272,66900,77376,36049,57644,82832,41636,1193,4898,1585,5083,232,5
2026-05-01,Trà Vinh,XSTV - 35TV18,841570,87427,21613,29868,70237,17002,35798,8118,22073,37816,88632,57757,4915,2399,6086,1754,818,70
2026-05-08,Trà Vinh,XSTV - 35TV19,195634,75226,54186,64922,39575,56105,14298,5505,13089,82107,68310,23086,9759,638,7383,8932,639,61
2026-05-15,Trà Vinh,XSTV - 35TV20,314542,51221,98772,55894,63395,20490,77179,6596,97690,73992,39322,52889,7639,425,9452,2233,256,49
2026-05-22,Trà Vinh,XSTV - 35TV21,750681,91893,30549,76888,83202,39821,28404,98116,415,48434,25621,84416,9419,481,8586,6496,72,58
2026-05-29,Trà Vinh,XSTV - 35TV22,512263,93120,11426,98912,29062,70603,33723,11443,65482,68273,26634,54438,6874,6637,5106,40,745,81
2026-06-05,Trà Vinh,XSTV - 35TV23,396747,98313,14791,2847,97244,36259,49721,94428,3133,7310,71483,59118,5356,2050,3023,9103,669,72
2026-06-12,Trà Vinh,XSTV - 35TV24,235477,7257,36921,31222,3498,83686,91404,20617,41654,13128,23825,36442,2299,5123,2491,8817,726,46
2026-06-19,Trà Vinh,XSTV - 35TV25,998520,29248,17863,523,52715,48840,32751,25181,23621,77205,67500,29464,4623,1322,6756,2503,697,81
2026-06-26,Trà Vinh,XSTV - 35TV26,445418,6144,46128,21289,90362,30095,90716,14751,58839,41691,16807,84890,5460,5375,7102,7743,423,9
2026-07-03,Trà Vinh,XSTV - 35TV27,260617,20462,58933,71811,90414,99347,99228,13625,40658,67445,72656,81231,2395,4130,8076,204,867,1
2026-07-10,Trà Vinh,XSTV - 35TV28,325002,44392,78976,27148,60269,59086,7496,83400,23409,59974,72448,78305,6982,8085,7124,5351,900,51
