date,special,prize1,prize2,prize3_1,prize3_2,prize4_1,prize4_2,prize4_3,prize4_4,prize4_5,prize4_6,prize4_7,prize5,prize6_1,prize6_2,prize6_3,prize7,prize8
2025-07-18,92,16,18,97,48,84,6,67,68,87,34,18,96,83,20,2,20,0
2025-07-25,16,21,54,82,85,40,18,13,0,95,97,43,31,19,89,15,52,22
2025-08-01,14,74,93,23,20,69,66,0,93,14,75,29,62,72,18,6,39,14
2025-08-08,23,98,40,62,20,60,6,17,49,39,42,69,57,8,70,80,44,13
2025-08-15,6,46,26,38,97,94,92,3,28,67,14,54,19,60,82,49,51,34
2025-08-22,42,18,75,95,53,27,91,81,31,80,63,91,31,2,46,79,49,29
2025-08-29,2,68,16,71,92,69,33,62,14,34,77,49,26,12,94,15,92,50
2025-09-05,22,3,53,45,83,92,12,94,75,17,0,50,84,33,92,76,16,19
2025-09-12,59,51,70,97,94,30,39,11,32,97,65,38,86,94,23,86,6,99
2025-09-19,25,52,59,40,24,68,70,71,62,0,95,91,30,71,11,36,29,2
2025-09-26,19,49,48,30,19,37,13,46,65,58,6,83,8,27,50,41,97,15
2025-10-03,36,27,91,51,20,87,46,0,22,12,50,95,70,40,89,40,69,83
2025-10-10,5,98,19,30,3,42,24,36,55,45,24,13,20,70,73,64,59,15
2025-10-17,93,43,89,27,95,36,88,41,48,7,76,23,73,27,10,27,71,89
2025-10-24,54,11,96,29,18,0,5,71,63,5,46,94,98,58,25,90,8,16
2025-10-31,83,99,33,14,0,0,98,75,21,23,62,2,83,10,45,11,6,16
2025-11-07,14,63,2,73,47,46,24,19,63,82,85,31,43,89,63,32,12,36
2025-11-14,90,21,56,97,94,14,53,22,82,30,70,2,43,92,32,97,88,58
2025-11-21,44,91,7,29,24,43,80,26,51,42,52,9,55,98,69,42,16,31
2025-11-28,37,69,21,13,91,47,58,72,48,1,89,80,77,72,25,91,0,30
2025-12-05,16,69,92,67,40,35,97,89,90,40,57,75,38,45,37,79,52,18
2025-12-12,40,40,20,3,69,75,10,75,53,30,38,60,2,4,44,27,79,93
2025-12-19,48,7,86,63,17,56,95,42,90,12,32,0,48,96,11,58,85,50
2025-12-26,38,1,79,97,55,37,30,21,85,45,95,50,18,20,77,3,61,17
2026-01-02,64,49,93,3,21,44,21,23,69,98,92,98,54,92,60,80,49,8
2026-01-09,42,71,18,56,92,5,76,57,95,60,69,22,97,13,15,21,94,26
2026-01-16,71,19,87,72,66,5,79,73,79,20,99,61,40,45,62,87,50,21
2026-01-23,63,93,24,49,79,64,20,69,22,17,23,4,25,43,62,22,25,59
2026-01-30,67,74,73,67,31,60,20,38,25,98,41,0,80,59,77,3,68,22
2026-02-06,93,71,45,50,4,98,22,55,28,92,14,65,19,55,59,52,98,5
2026-02-13,84,93,12,58,18,20,18,5,51,64,10,82,50,22,98,30,6,41
2026-02-20,75,35,24,23,30,60,45,11,69,62,54,49,64,81,35,1,56,59
2026-02-27,39,84,46,87,76,54,23,34,45,75,33,5,96,80,94,18,36,90
2026-03-06,57,63,30,60,90,39,81,5,47,70,70,36,98,78,71,52,19,60
2026-03-13,8,95,43,0,91,40,65,99,38,12,92,3,74,96,32,1,10,48
2026-03-20,48,69,66,23,1,16,88,55,79,65,15,31,26,54,53,71,27,46
2026-03-27,87,77,45,53,37,99,54,45,36,87,31,50,95,0,3,28,72,7
2026-04-03,49,26,91,12,99,3,95,74,49,87,30,31,64,92,83,1,3,69
2026-04-10,16,65,34,95,38,3,46,49,62,26,58,28,0,60,50,56,56,66
2026-04-17,23,17,6,38,78,40,15,22,2,5,6,90,8,0,63,76,96,31
2026-04-24,23,6,89,68,48,86,74,83,49,51,65,97,98,73,68,78,32,60
2026-05-01,67,41,21,53,34,59,47,59,91,63,42,80,84,95,13,24,98,23
2026-05-08,21,99,22,75,74,26,15,59,47,83,91,11,33,23,89,44,10,68
2026-05-15,15,59,0,16,72,90,89,16,5,65,58,96,58,96,71,99,92,51
2026-05-22,39,11,77,54,95,90,88,83,29,29,18,76,60,54,23,9,29,85
2026-05-29,49,42,4,28,53,82,84,74,73,53,9,24,84,16,33,56,51,54
2026-06-05,78,64,50,59,10,94,29,48,96,11,69,60,9,48,95,93,47,64
2026-06-12,96,37,43,73,69,86,38,80,36,7,9,30,86,18,66,61,39,90
2026-06-19,2,43,17,61,32,17,10,98,92,60,45,26,73,73,36,31,47,46
2026-06-26,48,33,67,35,32,13,26,12,74,0,59,58,52,42,91,90,27,19
2026-07-03,34,99,36,42,13,77,18,78,63,20,33,96,96,30,55,78,58,57
2026-07-10,65,53,9,55,91,47,5,41,95,30,46,19,41,90,59,57,95,95
