date,special,prize1,prize2,prize3_1,prize3_2,prize4_1,prize4_2,prize4_3,prize4_4,prize4_5,prize4_6,prize4_7,prize5,prize6_1,prize6_2,prize6_3,prize7,prize8
2025-07-15,90,79,10,83,45,18,51,93,31,57,58,23,87,41,79,85,30,36
2025-07-22,64,57,5,79,29,93,30,26,78,89,6,40,43,36,47,9,76,45
2025-07-29,29,91,50,50,47,11,13,42,43,40,49,50,34,56,29,50,79,54
2025-08-05,63,13,84,60,65,60,35,80,38,14,81,88,54,36,42,3,33,84
2025-08-12,77,10,6,30,80,29,6,49,90,77,92,16,23,87,83,48,26,63
2025-08-19,28,65,96,44,84,59,7,34,1,24,90,95,61,52,59,30,34,15
2025-08-26,36,67,83,98,4,81,31,48,99,96,59,70,7,35,83,9,34,69
2025-09-02,84,49,34,35,2,59,43,24,53,77,54,98,19,34,86,26,61,12
2025-09-09,13,22,1,70,57,42,60,4,46,40,45,62,98,48,78,22,36,49
2025-09-16,63,79,0,94,69,98,52,56,29,16,15,13,74,35,81,20,72,96
2025-09-23,46,57,73,65,74,9,71,71,43,31,87,44,40,39,58,78,42,22
2025-09-30,50,71,19,63,46,95,87,6,32,4,29,75,67,62,79,78,89,7
2025-10-07,74,78,81,23,10,78,37,49,27,57,32,85,11,6,87,11,12,4
2025-10-14,96,84,65,76,75,10,16,84,74,46,83,6,92,31,73,17,50,33
2025-10-21,75,84,85,64,57,83,16,65,9,92,17,51,28,28,36,52,22,21
2025-10-28,43,93,88,47,48,44,40,66,32,30,13,98,80,38,52,2,47,3
2025-11-04,36,67,50,92,32,13,3,40,44,90,43,0,83,62,12,37,68,48
2025-11-11,72,70,36,10,65,25,83,95,21,74,98,63,62,44,43,57,44,65
2025-11-18,17,65,37,84,41,57,93,70,95,48,77,44,53,44,7,96,27,89
2025-11-25,30,93,20,78,20,9,55,87,95,37,56,67,39,81,2,49,94,75
2025-12-02,97,48,51,59,45,86,14,37,2,97,77,95,94,3,66,61,23,92
2025-12-09,48,45,43,13,13,30,61,51,52,90,47,0,28,25,90,51,36,98
2025-12-16,87,50,56,68,47,62,73,16,65,53,68,42,60,63,85,93,81,10
2025-12-23,73,71,13,92,13,51,18,23,76,54,67,8,32,96,72,53,47,71
2025-12-30,26,14,83,47,82,84,79,65,18,82,79,6,5,81,60,54,16,20
2026-01-06,28,4,15,2,86,20,58,97,3,1,67,13,52,54,81,41,32,58
2026-01-13,92,3,16,54,6,84,42,2,67,8,41,69,91,37,58,26,91,18
2026-01-20,17,57,20,58,99,20,50,96,34,49,34,46,27,66,11,60,21,11
2026-01-27,78,27,70,87,42,94,89,97,68,1,15,38,33,1,63,45,86,22
2026-02-03,17,65,93,16,78,14,76,84,83,25,94,64,45,80,8,95,49,13
2026-02-10,95,83,83,85,65,39,13,10,33,15,2,91,88,29,12,29,58,33
2026-02-17,26,1,72,29,79,54,83,48,21,87,71,37,79,38,48,10,96,56
2026-02-24,13,68,60,0,54,89,2,78,62,54,42,8,70,74,18,86,67,44
2026-03-03,32,41,25,6,0,23,23,73,67,69,23,55,74,74,35,28,76,50
2026-03-10,68,7,64,74,5,5,89,21,62,22,20,58,8,77,52,72,45,11
2026-03-17,93,96,55,34,20,88,2,40,25,79,2,39,7,17,71,77,36,24
2026-03-24,41,55,56,21,97,0,70,16,68,67,84,47,14,21,64,68,39,58
2026-03-31,59,97,89,45,31,74,78,32,68,27,21,12,63,12,97,47,24,67
2026-04-07,1,40,28,55,6,79,70,62,89,45,51,89,82,47,2,19,41,25
2026-04-14,94,29,85,74,20,30,59,30,28,90,22,62,73,54,10,58,24,31
2026-04-21,34,46,88,92,52,56,31,7,75,97,20,60,52,10,1,70,2,17
2026-04-28,94,43,51,81,11,1,43,73,99,68,44,28,62,96,71,99,60,92
2026-05-05,46,24,96,1,17,0,93,33,82,78,76,30,71,65,19,37,12,32
2026-05-12,85,34,7,45,16,36,28,83,7,32,71,62,40,3,6,39,14,12
2026-05-19,27,16,83,99,94,93,53,20,71,44,39,5,72,71,45,61,19,23
2026-05-26,56,30,9,16,4,84,73,66,25,26,54,61,43,25,96,77,11,43
2026-06-02,35,60,58,1,7,58,46,96,76,96,14,84,75,7,73,3,98,4
2026-06-09,1,64,99,76,84,51,17,1,18,20,46,64,3,27,57,78,76,8
2026-06-16,92,42,75,12,82,95,37,17,34,30,11,95,33,80,61,3,4,19
2026-06-23,47,27,32,73,29,17,82,35,85,48,13,77,67,8,92,96,5,71
2026-06-30,66,9,25,86,85,46,45,79,77,55,34,85,16,37,21,20,48,22
2026-07-07,86,41,32,54,70,16,23,89,93,65,56,16,28,18,91,22,77,18
