date,station,station_code,special,prize1,prize2,prize3_1,prize3_2,prize4_1,prize4_2,prize4_3,prize4_4,prize4_5,prize4_6,prize4_7,prize5,prize6_1,prize6_2,prize6_3,prize7,prize8
2025-07-15,Vũng Tàu,XSVT - 7C,455990,58679,77410,4183,30045,40418,52051,96593,51931,25557,83358,91723,3187,6841,6879,5785,30,36
2025-07-22,Vũng Tàu,XSVT - 7D,260664,6857,91105,54279,67129,61493,99530,4626,90078,34389,36406,84140,343,9336,8947,7609,576,45
2025-07-29,Vũng Tàu,XSVT - 7E,329029,71191,88150,78150,12447,54811,95213,20742,79243,57540,3049,86550,7834,6356,5429,6850,879,54
2025-08-05,Vũng Tàu,XSVT - 8A,810663,10013,97584,94860,87865,66860,15235,8480,49538,53114,29681,7788,5554,1936,8642,703,933,84
2025-08-12,Vũng Tàu,XSVT - 8B,886877,14110,18406,74930,73580,94429,90106,41849,81190,18477,28692,316,9123,3787,1183,6748,526,63
2025-08-19,Vũng Tàu,XSVT - 8C,771028,75165,46896,88044,15784,2459,96907,59434,54701,14124,18490,24095,3061,4652,3759,3830,834,15
2025-08-26,Vũng Tàu,XSVT - 8D,976536,43567,98183,28698,22104,14381,21431,87148,24699,3896,97059,58670,707,7935,3983,7809,734,69
2025-09-02,Vũng Tàu,XSVT - 9A,598984,33349,11834,81635,70302,3259,27443,16424,19853,83177,36954,68198,8619,5634,3186,6126,661,12
2025-09-09,Vũng Tàu,XSVT - 9B,637713,17322,46101,59970,34857,55942,92260,40504,99546,23540,9745,90962,6298,3348,5878,6122,336,49
2025-09-16,Vũng Tàu,XSVT - 9C,537763,95179,75700,12194,58569,62598,19152,77856,19729,93216,61115,87213,4674,6535,2281,720,972,96
2025-09-23,Vũng Tàu,XSVT - 9D,47346,26457,44873,3565,84574,11809,92671,91271,66943,94531,36787,12144,5140,8339,2958,1978,842,22
2025-09-30,Vũng Tàu,XSVT - 9E,25150,97271,67619,41663,59746,26795,80587,88506,74732,17304,14929,55875,2567,8162,5379,4078,489,7
2025-10-07,Vũng Tàu,XSVT - 10A,272674,31978,57881,63423,94810,25778,27337,99449,12027,34457,72732,70485,7611,4506,7887,1911,12,4
2025-10-14,Vũng Tàu,XSVT - 10B,318696,60584,51065,87576,26775,66910,1916,76884,89574,87046,6183,21106,8292,9631,5873,2217,950,33
2025-10-21,Vũng Tàu,XSVT - 10C,170075,54184,48785,7464,74457,3183,4216,48265,64309,31392,67317,79651,4428,7428,3236,652,922,21
2025-10-28,Vũng Tàu,XSVT - 10D,630243,13193,93188,79747,69148,37344,22040,81466,22032,71330,35713,27298,7680,138,7452,2,847,3
2025-11-04,Vũng Tàu,XSVT - 11A,157236,34567,54750,592,99132,18613,41703,18040,29744,28090,11043,97900,5483,8262,8312,8437,968,48
2025-11-11,Vũng Tàu,XSVT - 11B,627072,48370,1936,46910,64865,24025,82183,38095,63821,30274,72598,22963,1562,5744,1643,8157,544,65
2025-11-18,Vũng Tàu,XSVT - 11C,678017,75165,20937,61784,50041,43557,73093,72270,19295,75448,51277,20344,9653,6344,2707,4196,327,89
2025-11-25,Vũng Tàu,XSVT - 11D,17030,14093,90120,88478,52120,91909,34755,5287,58595,75737,71356,89167,4639,9781,1002,5649,894,75
2025-12-02,Vũng Tàu,XSVT - 12A,259197,77648,82551,41059,76445,33986,29914,65937,98702,13397,53077,97295,9794,1803,8966,5461,323,92
2025-12-09,Vũng Tàu,XSVT - 12B,248,21445,18343,96313,70513,85030,84161,74351,74252,70990,28847,15700,6328,7325,9590,1251,536,98
2025-12-16,Vũng Tàu,XSVT - 12C,179987,81150,55956,31968,76847,73062,75873,33616,49065,38653,6668,89042,9360,2263,885,8893,681,10
2025-12-23,Vũng Tàu,XSVT - 12D,267673,72271,86213,43692,2713,81351,31518,48523,53876,26354,43767,10208,6332,6496,6472,3153,247,71
2025-12-30,Vũng Tàu,XSVT - 12E,39926,24314,87183,49647,1682,32184,50879,63565,40118,67282,25679,90406,8905,8781,5960,2454,716,20
2026-01-06,Vũng Tàu,XSVT - 01A,905728,17204,59015,15602,21086,33920,93658,14897,36503,12801,56167,53413,8152,3154,681,8741,532,58
2026-01-13,Vũng Tàu,XSVT - 01B,833192,61803,59116,68954,26106,99484,77542,8002,28667,9308,44241,53169,8391,9537,1858,7126,791,18
2026-01-20,Vũng Tàu,XSVT - 01C,305017,58157,27620,2258,38499,95120,28950,21496,4134,27149,45134,7046,5027,9266,6311,8860,421,11
2026-01-27,Vũng Tàu,XSVT - 01D,319678,4227,26370,72387,26942,50994,61589,17397,1368,34501,64915,99538,3233,901,3763,8145,886,22
2026-02-03,Vũng Tàu,XSVT - 02A,994417,44265,2693,46416,378,29914,9076,93684,47283,51625,4294,21164,4245,1580,608,8895,149,13
2026-02-10,Vũng Tàu,XSVT - 02B,879095,79083,66983,67585,84865,42339,48413,31010,73933,19015,89002,13391,2488,3929,5612,4729,658,33
2026-02-17,Vũng Tàu,XSVT - 02C,144726,27701,78172,4729,9179,14754,39983,4248,38121,64787,21571,80137,9079,8638,3148,5310,696,56
2026-02-24,Vũng Tàu,XSVT - 02D,329713,41768,26360,51500,88754,54689,1402,51378,71362,16454,13342,14108,5370,3774,5218,1986,267,44
2026-03-03,Vũng Tàu,XSVT - 03A,339932,33041,14425,35506,84400,49623,58423,44473,55467,32469,12623,12255,2474,8674,6335,4428,76,50
2026-03-10,Vũng Tàu,XSVT - 03B,189468,96907,63864,56274,48305,13405,46989,74321,40162,61222,60120,29158,3508,3677,4052,3872,245,11
2026-03-17,Vũng Tàu,XSVT - 03C,182693,6296,25255,67934,80620,88888,74802,30340,58425,53079,59702,29539,7007,917,8171,577,336,24
2026-03-24,Vũng Tàu,XSVT - 03D,833041,16555,16556,49521,90797,77200,96770,14916,57768,24567,44984,96247,8514,821,1764,4768,839,58
2026-03-31,Vũng Tàu,XSVT - 03E,813159,25697,65489,63545,9431,21074,39778,98132,65668,49327,30721,21112,5763,3412,5597,347,524,67
2026-04-07,Vũng Tàu,XSVT - 04A,349501,93740,18128,40555,84406,32279,29170,32062,27889,19745,72651,38389,5182,6747,4902,4119,41,25
2026-04-14,Vũng Tàu,XSVT - 04B,433594,24529,58385,61574,64120,29930,60759,69430,5728,80690,42222,71762,8073,654,2210,3858,324,31
2026-04-21,Vũng Tàu,XSVT - 04C,548134,3546,10188,14192,71452,13956,77531,36307,75875,52997,30820,86560,1852,8110,9601,6870,902,17
2026-04-28,Vũng Tàu,XSVT - 04D,718994,76443,5151,29181,25711,25501,88743,79773,98999,67768,68144,77928,9162,3696,4371,199,860,92
2026-05-05,Vũng Tàu,XSVT - 05A,742546,84324,69796,33901,21917,87600,75793,67133,26882,84978,83376,23130,8171,9965,3319,6837,412,32
2026-05-12,Vũng Tàu,XSVT - 05B,355485,3134,52307,42445,15516,94336,70828,28483,31307,94232,99771,87162,7140,6503,2806,539,314,12
2026-05-19,Vũng Tàu,XSVT - 05C,382627,33216,44383,17699,93194,36893,54053,77220,35571,21344,37639,43605,9672,8571,6445,2061,719,23
2026-05-26,Vũng Tàu,XSVT - 05D,353356,89430,24009,37316,77704,38984,35973,10166,71525,99326,91954,19361,8443,1525,2496,7177,511,43
2026-06-02,Vũng Tàu,XSVT - 06A,306135,40860,71058,35501,96607,2158,72246,44396,80076,23896,14614,65784,8575,1607,7173,4803,698,4
2026-06-09,Vũng Tàu,XSVT - 06B,556701,864,14299,65776,80784,30851,38717,16301,72518,22320,59046,93564,5703,6827,7757,4478,476,8
2026-06-16,Vũng Tàu,XSVT - 06C,24892,28642,25975,68212,88682,92495,97437,89117,98734,97530,26311,20095,4733,9780,8761,803,304,19
2026-06-23,Vũng Tàu,XSVT - 06D,18547,6727,63732,17873,7329,25817,57082,3735,94085,73748,72713,24877,8667,4508,1892,3996,105,71
2026-06-30,Vũng Tàu,XSVT - 06E,483966,43509,66225,81086,88585,92746,82345,61879,60277,13155,4134,89785,7616,4237,4121,5720,148,22
2026-07-07,Vũng Tàu,XSVT - 07A,168986,36041,91832,61154,98970,26316,60123,48489,87993,24265,85456,76916,1128,5118,1091,1722,77,18
